Id,HasAcceptedAnswer
"18754","1"
"26433","1"
"27077","1"
"27359","1"
"29142","1"
"49403","1"
"55754","1"
"68372","1"
"70587","0"
"71864","1"
"105349","1"
"124167","1"
"127669","0"
"157342","1"
"158044","1"
"163591","1"
"171924","1"
"185451","1"
"188208","1"
"189523","0"
"216995","1"
"247706","1"
"258729","1"
"258735","1"
"294193","0"
"295195","1"
"307437","1"
"307503","1"
"307796","1"
"313437","0"
"323146","1"
"325628","1"
"328041","1"
"342969","1"
"346692","1"
"349702","0"
"352837","1"
"368744","1"
"369145","1"
"395234","1"
"411495","1"
"413962","1"
"418073","1"
"420278","1"
"427472","1"
"428109","1"
"433222","1"
"447288","1"
"451713","1"
"453410","1"
"457120","1"
"461074","1"
"468704","1"
"472579","1"
"498358","1"
"499119","1"
"511694","1"
"515341","1"
"521366","0"
"529054","1"
"531816","1"
"537942","1"
"556820","1"
"557229","1"
"570984","1"
"576523","0"
"589149","0"
"589276","1"
"592733","0"
"597497","0"
"602912","1"
"614930","1"
"617952","1"
"618378","1"
"621821","1"
"628617","1"
"630372","1"
"638202","1"
"639078","1"
"639990","1"
"647032","1"
"657846","1"
"665274","1"
"670488","1"
"688849","1"
"693460","0"
"706196","1"
"735134","0"
"748185","1"
"748329","1"
"748488","1"
"758975","1"
"776071","1"
"793483","1"
"793678","1"
"794728","1"
"803653","1"
"820517","1"
"827828","1"
"844632","1"
"845863","1"
"846730","1"
"848342","0"
"853451","1"
"872860","0"
"880330","1"
"883463","0"
"885620","1"
"885798","1"
"890368","1"
"893585","0"
"905242","1"
"908457","1"
"911349","1"
"920250","1"
"927091","1"
"933445","1"
"951336","1"
"962255","1"
"974738","1"
"976059","1"
"984635","1"
"985585","1"
"991142","1"
"993266","1"
"993585","0"
"994178","1"
"1003528","1"
"1006885","0"
"1010939","1"
"1017440","1"
"1037605","1"
"1041170","1"
"1047991","1"
"1053165","0"
"1056131","1"
"1089813","1"
"1092631","1"
"1107262","1"
"1107294","1"
"1120095","0"
"1124416","1"
"1147181","1"
"1159387","1"
"1165757","1"
"1167746","1"
"1176536","1"
"1178839","1"
"1186460","1"
"1193649","0"
"1193658","1"
"1199530","1"
"1199613","1"
"1199981","1"
"1202480","0"
"1203290","1"
"1203583","1"
"1224699","1"
"1224766","1"
"1234686","1"
"1250144","1"
"1254726","1"
"1255050","1"
"1256318","1"
"1258985","1"
"1272675","1"
"1279953","1"
"1289026","1"
"1305237","1"
"1308823","1"
"1314197","1"
"1323956","1"
"1328750","1"
"1334411","1"
"1340048","1"
"1361493","1"
"1363655","1"
"1369522","0"
"1376055","1"
"1377578","1"
"1378331","1"
"1391079","0"
"1403672","1"
"1405611","0"
"1408678","1"
"1414861","0"
"1423521","1"
"1444078","0"
"1444705","1"
"1459250","1"
"1460973","1"
"1463113","0"
"1472570","1"
"1475111","1"
"1491514","1"
"1491556","1"
"1495599","1"
"1496855","1"
"1500204","1"
"1504724","1"
"1504867","1"
"1505034","0"
"1507816","1"
"1508839","1"
"1511744","1"
"1516326","1"
"1516458","1"
"1526746","0"
"1529251","0"
"1529553","0"
"1533136","1"
"1535107","1"
"1536772","1"
"1537673","1"
"1545530","1"
"1548653","1"
"1554160","0"
"1556660","1"
"1558458","1"
"1560393","1"
"1561055","1"
"1568995","1"
"1569762","1"
"1591562","1"
"1600139","1"
"1602378","1"
"1613041","1"
"1613617","1"
"1616097","0"
"1639302","1"
"1641477","1"
"1643347","1"
"1651454","1"
"1655372","1"
"1659826","1"
"1668284","1"
"1684261","1"
"1688999","1"
"1715137","1"
"1718403","1"
"1738961","1"
"1753366","1"
"1757160","1"
"1769140","1"
"1787666","1"
"1792078","1"
"1811273","1"
"1821495","1"
"1823166","1"
"1842634","0"
"1844457","1"
