Id,HasAcceptedAnswer
"5328","1"
"5855","1"
"6222","1"
"6765","1"
"6816","1"
"7779","1"
"8219","1"
"10042","1"
"10586","1"
"10980","1"
"11088","1"
"11561","1"
"11930","1"
"13225","1"
"15481","1"
"15690","1"
"15732","1"
"15899","1"
"15949","1"
"16935","1"
"19893","1"
"20127","1"
"20778","1"
"21817","1"
"22720","1"
"24866","1"
"25449","1"
"25552","1"
"27129","1"
"27240","1"
"27572","1"
"27598","1"
"28301","1"
"30171","1"
"31394","1"
"32280","1"
"32519","1"
"32529","1"
"34669","1"
"34726","0"
"36881","1"
"37198","0"
"38955","1"
"39399","0"
"39639","1"
"40242","1"
"42575","1"
"42990","1"
"43199","1"
"45582","1"
"45623","1"
"45964","1"
"46642","1"
"47045","1"
"47555","1"
"49075","1"
"49156","1"
"49267","1"
"49900","1"
"51320","1"
"51380","1"
"51574","1"
"53128","1"
"53379","1"
"53387","0"
"53820","1"
"54295","1"
"56722","1"
"56954","0"
"57145","1"
"57689","1"
"59936","1"
"60470","0"
"60764","1"
"61692","1"
"62418","1"
"63206","1"
"63930","1"
"64392","1"
"64408","1"
"64582","1"
"64833","1"
"65010","1"
"65035","1"
"65128","1"
"66504","1"
"66540","0"
"66840","1"
"67183","0"
"67810","0"
"68018","1"
"68042","0"
"68746","0"
"70724","1"
"70732","1"
"71000","1"
"71468","0"
"71585","1"
"73476","1"
"74392","1"
"75489","1"
"76591","0"
"77436","1"
"78004","0"
"79658","0"
"79935","0"
"80787","1"
"81346","1"
"81671","1"
"81862","1"
"82223","1"
"82340","1"
"83159","1"
"84680","1"
"84782","1"
"85099","0"
"85190","1"
"86008","1"
"86083","0"
"86901","1"
"87362","0"
"88216","1"
"88743","1"
"90078","1"
"90829","0"
"91890","1"
"93177","1"
"93570","0"
"93655","1"
"94148","1"
"94331","0"
"94582","0"
"94882","0"
"95419","1"
"96360","1"
"96945","1"
"97741","1"
"98359","0"
"99020","0"
"99285","0"
"100107","1"
"100707","1"
"102003","1"
"103179","1"
"103564","1"
"103622","1"
"104184","1"
"104442","0"
"104803","1"
"104854","1"
"106222","0"
"106591","1"
"107076","1"
"108838","1"
"114237","1"
"115508","0"
"115766","0"
"116519","0"
"116599","0"
"116635","0"
"117043","1"
"117455","1"
"118371","1"
"119426","1"
"120662","1"
"120797","1"
"120889","0"
"121605","1"
"122468","1"
"122724","1"
"123421","1"
"123862","1"
"124630","1"
"125333","1"
"125359","1"
"125516","0"
"125994","0"
"127629","0"
"128008","1"
"128016","1"
"128699","1"
"129178","1"
"129746","0"
"131901","1"
"132052","1"
"132118","0"
"132319","0"
"132478","1"
"132754","1"
"132895","1"
"133112","0"
"134424","1"
"134742","1"
"135919","1"
"136362","1"
"138028","1"
"138877","1"
"139088","1"
"139288","1"
"141284","1"
"141411","1"
"141454","1"
"141611","0"
"141987","0"
"143390","1"
"143566","1"
"143936","1"
"143969","1"
"144200","1"
"144392","1"
"144872","1"
"145272","1"
"145863","1"
"146390","1"
"146850","1"
"147178","0"
"148130","1"
"148530","1"
"149506","1"
"150192","1"
"150403","1"
"150646","1"
"152691","0"
"154314","1"
"154724","1"
"154757","1"
"156634","0"
"157195","1"
"157294","0"
"157480","0"
"157846","0"
"158330","1"
"159469","0"
"161231","1"
"161349","0"
"161633","1"
"162208","0"
"162310","1"
"162735","0"
"164088","1"
"164105","1"
"165043","0"
"165767","0"
"166322","1"
"166354","1"
"166411","1"
"166823","1"
"166895","1"
"167007","1"
"167517","1"
"167740","1"
"168084","0"
"168676","1"
"169277","1"
"171727","1"
"174093","1"
"174502","1"
"175186","0"
"175437","1"
"175621","1"
"177244","0"
"177611","1"
"177708","0"
"177927","1"
"178479","1"
"178562","1"
"179748","1"
"180158","1"
"180528","0"
"180978","1"
"182876","1"
"184027","0"
"184312","1"
"184704","1"
"185180","1"
"185531","1"
"185563","0"
"185747","1"
"186827","1"
"186945","0"
"187461","0"
"188547","0"
"188606","1"
"189209","1"
"189318","0"
"189557","1"
"190597","1"
"191390","1"
"192702","0"
"192718","1"
"192920","1"
"194165","0"
"194349","1"
"194698","1"
"194765","0"
"195451","1"
"196221","1"
"196980","0"
"197045","1"
"197070","1"
"197155","0"
"197190","1"
"199152","1"
"199426","1"
"199869","1"
"200147","0"
"200512","1"
"201023","1"
"201476","1"
"201816","1"
"202502","1"
"203030","1"
"203984","1"
"204349","1"
"206161","1"
"206847","1"
"207608","0"
"207652","0"
"207717","0"
"208712","1"
"210719","1"
"211051","1"
"211143","1"
"211477","0"
"211487","1"
"211718","0"
"212263","1"
"212697","1"
"213349","1"
"213985","1"
"214262","1"
"214362","0"
"215271","1"
"215638","1"
"216315","1"
"216790","1"
"217116","1"
"217551","0"
"217718","1"
"217827","1"
"126","1"
"2092","0"
"3881","1"
"4080","1"
"4630","1"
"7539","1"
"8569","1"
"9361","1"
"13863","0"
"14801","1"
"15496","0"
"17993","0"
"19347","1"
"20034","1"
"23106","1"
"23950","1"
"25637","1"
"26458","0"
"29357","0"
"29734","1"
"30571","1"
"31127","1"
"31446","1"
"31840","0"
"31924","0"
"32041","1"
"33960","1"
"34638","1"
"35785","1"
"38949","1"
"41056","1"
"41499","1"
"42452","1"
"46389","1"
"46496","1"
"46663","1"
"48144","1"
"48659","1"
"48859","0"
"49379","1"
"50064","1"
"50255","0"
"50398","1"
"50524","1"
"50532","1"
"51266","1"
"51786","0"
"52353","1"
"52874","1"
"53808","1"
"54567","1"
"54861","1"
"54926","1"
"54952","1"
"55369","1"
"55487","1"
"56865","0"
"57034","1"
"57102","0"
"57194","1"
"58163","1"
"58547","1"
"58988","1"
"59107","1"
"59129","1"
"59557","1"
"59806","0"
"59850","1"
"60269","1"
"61176","0"
"61906","0"
"62241","1"
"62289","0"
"62433","0"
"62447","0"
"62650","0"
"62932","0"
"63150","1"
"63935","1"
"64036","1"
"64213","1"
"64989","0"
"66066","1"
"66402","1"
"66643","1"
"66668","1"
"67980","0"
"68113","1"
"68614","1"
"69927","1"
"70554","1"
"70689","1"
"70964","0"
"71625","1"
"71740","1"
"72201","0"
"73029","0"
"73109","0"
"73288","0"
"74248","1"
"74315","1"
"75014","1"
"75168","1"
"75700","1"
"78352","0"
"79538","1"
"80105","1"
"80799","1"
"81132","0"
"81260","1"
"81392","1"
"81567","1"
"82109","1"
"82429","1"
"84285","0"
"84460","0"
"84644","0"
"84759","1"
"84983","1"
"86824","0"
"88243","0"
"89439","1"
"89891","1"
"90176","1"
"90350","1"
"91487","0"
"92287","0"
"93423","1"
"93976","1"
"94112","0"
"94361","1"
"94977","1"
"95163","0"
"95506","1"
"96859","1"
"96875","1"
"97678","0"
"98220","1"
"98320","1"
"99164","1"
"100243","1"
"101579","1"
"101849","1"
"101880","0"
"102058","1"
"102832","1"
"104254","1"
"105125","0"
"105834","1"
"106310","1"
"108057","0"
"108593","0"
"108692","1"
"108782","1"
"109746","0"
"112603","1"
"113063","1"
"113897","0"
"114457","1"
"114575","0"
"115184","1"
"115685","1"
"116036","0"
"116394","0"
"116579","1"
"117751","1"
"119011","0"
"119245","0"
"119328","1"
"119832","1"
"119838","1"
"119857","1"
"120180","1"
"120941","0"
"121266","1"
"121762","1"
"122105","1"
"122160","0"
"122254","1"
"122571","1"
"123598","1"
"123657","1"
"123817","0"
"124143","1"
"126073","1"
"126114","1"
"126116","1"
"126138","1"
"126656","1"
"126667","1"
"126999","0"
"127299","1"
"127587","0"
"127753","1"
"128103","1"
"129207","1"
"129915","1"
"132231","1"
"132263","0"
"132597","1"
"133710","0"
"135112","1"
"136034","0"
"136052","1"
"136308","1"
"136419","1"
"137060","1"
"137243","1"
"139076","1"
