Id,AnswerCount
"2732","9"
"6134","13"
"7035","12"
"7665","14"
"15537","3"
"17231","9"
"17965","9"
"18754","4"
"18836","3"
"19122","3"
"25785","16"
"26433","8"
"27044","3"
"27077","5"
"27359","5"
"28224","3"
"28881","4"
"29061","5"
"29142","12"
"30066","7"
"35563","7"
"35905","2"
"38160","15"
"38746","7"
"39867","6"
"40193","18"
"40244","7"
"40368","10"
"43321","6"
"48774","5"
"49110","9"
"49403","5"
"55754","7"
"56798","2"
"58207","7"
"59895","48"
"60874","3"
"60942","5"
"62044","5"
"63870","3"
"64786","15"
"65994","6"
"68372","105"
"70587","23"
"71776","8"
"71864","4"
"73833","8"
"74844","13"
"74886","3"
"78431","4"
"78497","9"
"78592","4"
"80612","12"
"80875","13"
"81520","11"
"84882","10"
"85880","13"
"89609","5"
"90418","9"
"91110","2"
"91368","23"
"92802","7"
"97137","11"
"99348","2"
"100829","9"
"101767","6"
"102049","6"
"103316","6"
"103857","14"
"105075","12"
"105349","6"
"105971","3"
"106387","8"
"114814","17"
"119788","6"
"123235","11"
"124167","7"
"125281","13"
"127669","6"
"128365","6"
"128853","8"
"129043","4"
"135688","28"
"144824","2"
"146435","14"
"149057","14"
"156916","4"
"157163","5"
"157342","5"
"158044","9"
"161064","5"
"161252","14"
"163591","8"
"167439","5"
"169511","16"
"169964","0"
"171868","2"
"171924","7"
"179291","2"
"181241","4"
"181313","2"
"185451","34"
"186099","5"
"188208","8"
"189523","4"
"190912","10"
"191364","15"
"192249","28"
"192292","18"
"192319","19"
"194725","7"
"195655","20"
"199331","23"
"200960","7"
"202610","4"
"205666","3"
"208074","6"
"208181","7"
"209470","19"
"211378","43"
"212745","6"
"212965","5"
"213855","4"
"216995","11"
"218156","4"
"219402","6"
"222833","9"
"226703","26"
"227847","1"
"228544","11"
"229551","19"
"234742","5"
"236713","3"
"238073","31"
"239526","4"
"240661","7"
"243750","21"
"245406","1"
"247706","4"
"248470","2"
"249578","7"
"249709","3"
"250354","2"
"254458","5"
"255898","6"
"258211","9"
"258729","2"
"258735","2"
"270933","3"
"278398","7"
"281928","8"
"284662","18"
"288294","9"
"290187","3"
"292016","3"
"294193","2"
"295195","5"
"296536","29"
"301039","20"
"302152","1"
"304864","2"
"307120","4"
"307437","13"
"307503","14"
"307796","4"
"307951","4"
"309604","7"
"312435","2"
"313437","1"
"314384","9"
"316078","12"
"316590","11"
"317733","2"
"317857","2"
"320313","10"
"321348","3"
"322098","4"
"323146","5"
"324167","4"
"325628","4"
"326942","3"
"328041","13"
"328264","4"
"331224","2"
"331642","4"
"335891","4"
"338285","5"
"339483","13"
"339887","3"
"340471","3"
"341682","4"
"342093","3"
"342969","9"
"345505","3"
"345518","2"
"346445","9"
"346692","3"
"347551","5"
"349702","4"
"350381","6"
"352837","5"
"356100","24"
"356578","23"
"356763","3"
"363209","6"
"363223","7"
"368744","3"
"369145","7"
"369697","9"
"369758","42"
"370047","32"
"372116","2"
"372807","3"
"372869","2"
"373134","2"
"374438","2"
"379385","4"
"379867","1"
"380817","13"
"385408","9"
"386783","4"
"389473","2"
"392022","30"
"394230","18"
"395234","6"
"399209","5"
"401111","3"
"407184","10"
"407279","5"
"407523","14"
"408116","5"
"408975","4"
"411092","3"
"411495","5"
"413015","3"
"413962","3"
"414164","10"
"415403","7"
"415677","14"
"416351","2"
"418073","3"
"418896","9"
"420278","5"
"421772","5"
"422963","3"
"424443","9"
"426294","1"
"427472","6"
"427979","14"
"428109","20"
"430078","9"
"430176","3"
"431736","3"
"433222","1"
"433718","3"
"434038","3"
"434851","5"
"435606","2"
"436452","1"
"443185","2"
"443991","5"
"447101","2"
"447288","6"
"447619","3"
"448126","4"
"448407","2"
"451713","11"
"452678","3"
"453410","3"
"454427","4"
"457120","3"
"458972","5"
"460047","1"
"461074","3"
"461863","1"
"462100","3"
"463913","5"
"463963","12"
"465272","1"
"468704","3"
"470232","4"
"472579","1"
"473979","4"
"479226","9"
"496702","19"
"498358","5"
"499096","4"
"499119","1"
"499879","5"
"502651","4"
"503135","3"
"507641","2"
"509427","3"
"511683","8"
"511694","5"
"513611","4"
"515341","4"
"515844","3"
"516305","2"
"516912","4"
"517219","7"
"517522","3"
"518268","1"
"519395","3"
"520437","8"
"521226","4"
"521366","4"
"522261","5"
"523878","3"
"524068","4"
"524146","1"
"525592","14"
"525872","10"
"526782","4"
"528920","3"
"529054","4"
"531816","1"
"535212","9"
"537191","4"
"537942","8"
"538504","5"
"539583","9"
"540298","8"
"543336","3"
"543737","6"
"543946","1"
"545387","11"
"549737","3"
"549810","4"
"550490","4"
"550922","6"
"552369","3"
"552724","7"
"553466","6"
"556820","5"
"557229","2"
"557800","5"
"560987","5"
"561895","4"
"562115","7"
"563500","5"
"564785","3"
"568056","1"
"570984","4"
"571368","5"
"572206","4"
"574305","8"
"574695","4"
"576523","2"
"582726","2"
"583075","1"
"587099","3"
"588144","2"
"588843","5"
"589149","10"
"589276","5"
"589841","2"
"590909","2"
"590952","7"
"591642","5"
"592620","29"
"592733","2"
"593724","6"
"595002","1"
"597134","2"
"597497","7"
"600491","6"
"600524","1"
"602706","7"
"602912","14"
"604864","12"
"612439","5"
"613572","6"
"614654","8"
"614785","1"
"614930","4"
"616480","5"
"617182","7"
"617952","3"
"618378","7"
"619432","4"
"619488","2"
"619537","3"
"621821","2"
"621915","3"
"625563","6"
"626533","9"
"628277","4"
"628564","4"
"628617","3"
"628662","5"
"628745","3"
"629874","3"
"630096","4"
"630372","5"
"630405","5"
"630533","4"
"630650","4"
"630990","5"
"632515","1"
"635782","6"
"637396","3"
"637827","10"
"637871","3"
"638202","3"
"638802","7"
"638975","17"
"638991","4"
"639078","5"
"639990","1"
"640363","4"
"640403","2"
"640493","4"
"641449","2"
"642067","1"
"642707","5"
"643584","6"
"645992","16"
"646010","2"
"646217","5"
"646672","3"
"646846","2"
"647032","8"
"649070","5"
"649697","3"
"651242","2"
"655149","4"
"656101","1"
"656741","7"
"657108","8"
"657130","11"
"657846","4"
"657850","2"
"665262","2"
"665274","3"
"666977","1"
"669452","6"
"670191","3"
"670363","2"
"670460","11"
"670488","16"
"670784","3"
"671211","7"
"673016","3"
"673055","7"
"677312","5"
