Id,HasAcceptedAnswer
"1311","0"
"5136","1"
"17980","1"
"22500","1"
"24891","1"
"25461","1"
"27857","0"
"29621","1"
"29647","1"
"35463","0"
"35973","1"
"38027","1"
"38561","1"
"45571","1"
"47919","1"
"47981","1"
"49668","0"
"50605","1"
"53811","1"
"53827","1"
"55510","1"
"61341","1"
"61499","0"
"62946","1"
"64851","1"
"68843","0"
"70850","1"
"76334","0"
"77535","0"
"80493","1"
"83962","1"
"84286","1"
"85649","1"
"88957","1"
"93569","1"
"96271","0"
"97506","1"
"101301","1"
"104442","0"
"105653","1"
"106405","0"
"109249","1"
"116368","1"
"118774","1"
"119123","1"
"121240","1"
"122877","1"
"122886","1"
"125828","0"
"128217","0"
"129911","1"
"138245","0"
"138521","1"
"140825","1"
"142261","1"
"143063","1"
"143108","1"
"143123","1"
"144134","1"
"145270","1"
"146291","1"
"146850","1"
"147351","1"
"148079","1"
"148298","1"
"150876","1"
"154630","0"
"156278","1"
"158534","0"
"162717","1"
"162735","0"
"162804","1"
"170467","1"
"170909","1"
"172863","1"
"172921","1"
"173681","1"
"176966","1"
"177209","1"
"179500","0"
"181921","0"
"183001","1"
"183190","0"
"188532","1"
"189350","1"
"189725","0"
"190596","1"
"193896","1"
"195802","0"
"196329","1"
"199418","1"
"201101","1"
"201141","1"
"203257","0"
"206405","1"
"208978","1"
"210943","1"
"211535","1"
"213042","1"
"214553","1"
"215933","1"
"216426","1"
"216510","0"
"221181","1"
"224562","1"
"226377","1"
"227897","1"
"228081","1"
"228684","0"
"228852","0"
"232678","1"
"232693","0"
"238603","1"
"239722","0"
"242665","1"
"245503","1"
"252748","0"
"252782","1"
"252859","0"
"254229","1"
"256277","1"
"257418","1"
"258407","0"
"258422","0"
"259248","1"
"260915","0"
"260962","1"
"267832","1"
"269996","1"
"270708","1"
"271106","0"
"272504","1"
"275471","1"
"279763","0"
"280173","0"
"280909","1"
"281260","1"
"284519","1"
"284952","1"
"284962","1"
"285731","1"
"288038","1"
"288062","1"
"289900","1"
"293401","1"
"295994","1"
"296922","1"
"299267","1"
"300746","0"
"301576","1"
"305611","1"
"308258","1"
"308695","1"
"310032","0"
"312865","0"
"313107","1"
"314584","1"
"318255","0"
"320461","1"
"321143","1"
"323285","1"
"323419","1"
"324011","1"
"324353","0"
"327836","0"
"331148","1"
"331271","1"
"332441","1"
"336585","1"
"338273","0"
"338427","1"
"340413","1"
"341282","1"
"341817","1"
"347920","1"
"349931","0"
"351052","1"
"353039","0"
"355967","0"
"356928","1"
"359125","1"
"359732","1"
"361648","1"
"366028","1"
"368967","0"
"369793","0"
"370195","1"
"371608","1"
"376278","1"
"380024","1"
"384391","1"
"386133","0"
"387654","1"
"391346","0"
"392416","1"
"393208","1"
"393662","1"
"396644","0"
"399085","1"
"399792","1"
"399850","0"
"402616","1"
"403662","0"
"404615","0"
"408592","1"
"409688","1"
"410039","1"
"411249","1"
"411273","0"
"411777","1"
"416237","0"
"416273","0"
"416755","0"
"418354","0"
"418914","1"
"421530","1"
"426224","1"
"427477","1"
"429632","1"
"429995","1"
"432835","0"
"433327","1"
"433461","1"
"434763","1"
"436300","1"
"436446","1"
"437279","1"
"439219","1"
"440204","1"
"440331","1"
"443128","0"
"443244","0"
"444815","0"
"446589","1"
"449019","1"
"450106","0"
"451102","1"
"451126","1"
"451375","1"
"451886","1"
"453432","1"
"453993","0"
"458121","1"
"459233","1"
"459751","0"
"462122","1"
"463493","1"
"463618","0"
"472249","0"
"473029","0"
"473661","0"
"476354","1"
"479647","1"
"480555","0"
"480849","0"
"480939","0"
"481902","0"
"484357","1"
"484635","0"
"489933","1"
"497786","0"
"498320","1"
"498705","1"
"499435","0"
"500501","1"
"500662","0"
"500886","0"
"502059","1"
"502811","0"
"503878","1"
"510681","0"
"513298","1"
"516395","1"
"522010","1"
"523425","1"
"524826","1"
"526030","1"
"535908","1"
"539351","0"
"540427","1"
"541289","1"
"541784","0"
"545584","1"
"551284","1"
"555923","0"
"557081","1"
"558703","0"
"559581","1"
"565056","1"
"566785","1"
"567167","1"
"572942","1"
"574362","0"
"576610","1"
"579612","0"
"579695","1"
"580247","1"
"584868","1"
"587049","1"
"587348","0"
"587393","1"
"590098","1"
"591252","1"
"592256","1"
"592579","1"
"593414","1"
"597318","1"
"597818","1"
"598119","1"
"598931","1"
"599358","1"
"599365","0"
"600502","1"
"601012","1"
"602439","1"
"603569","1"
"604104","1"
"604570","0"
"605247","1"
"608097","1"
"608584","1"
"608916","1"
"613063","1"
"615551","0"
"617314","1"
"618769","1"
"620892","0"
"621084","1"
"622019","1"
"625010","1"
"625270","0"
"625663","1"
"627201","1"
"628343","1"
"628761","1"
"630432","1"
"633367","1"
"637338","0"
"637964","1"
"640095","1"
"5727","1"
"7981","1"
"9410","1"
"10324","0"
"13473","1"
"14165","1"
"16615","1"
"23190","1"
"26098","1"
"32376","1"
"32448","1"
"35700","1"
"37538","1"
"38198","1"
"38949","1"
"41699","0"
"42125","1"
"42693","1"
"42762","1"
"48017","1"
"49046","1"
"49345","1"
"50079","1"
"51561","1"
"51667","0"
"56324","1"
"56672","1"
"59483","1"
"61253","1"
"62322","0"
"62868","1"
"63776","1"
"64689","1"
"66107","0"
"66402","1"
"69250","1"
"70753","1"
"77522","0"
"78125","1"
"78352","0"
"78744","1"
"79093","0"
"79360","1"
"89588","1"
"89607","1"
"92396","1"
"93356","1"
"98340","1"
"99468","0"
"100904","1"
"101046","1"
"104313","0"
"104496","0"
"105659","1"
"105816","1"
"108768","1"
"109317","1"
"127027","1"
"137011","0"
"139686","0"
"142016","1"
"142508","1"
"143739","1"
"146159","1"
"147057","0"
"150355","1"
"153616","1"
"154902","0"
"155378","1"
"160960","1"
"161788","0"
"161797","1"
"161879","1"
"162480","1"
"164002","1"
"173770","1"
"174531","1"
"174612","0"
"176512","0"
"177437","1"
"184676","1"
"186932","1"
"189855","1"
"189972","1"
"193440","0"
"193852","0"
"195688","1"
"197676","1"
"198991","1"
"204169","1"
"204823","1"
"206257","1"
"208272","1"
"209603","1"
"212466","1"
"213527","0"
"215302","1"
"216037","1"
"217731","1"
"220323","1"
"220423","1"
"221950","1"
"222471","1"
"224225","1"
"224969","0"
"227383","1"
"229012","1"
"229924","1"
"231069","1"
"232212","1"
"233047","1"
"233148","1"
"233242","1"
"236652","1"
"240058","1"
"240353","1"
"241825","0"
"241955","1"
"242399","0"
"251007","1"
"252644","1"
"258091","1"
"259355","1"
"260406","0"
"261500","1"
"262439","0"
"264269","1"
"264428","1"
"269314","1"
"269614","1"
"272175","1"
"272876","1"
"273560","1"
"273794","1"
"274753","0"
"275207","1"
"275314","0"
"276386","1"
"278381","0"
"280571","1"
"280940","0"
"284325","1"
"286402","1"
"288441","1"
"289329","1"
"290488","1"
"290898","1"
"291828","0"
"293438","1"
"293923","1"
"296992","1"
"307695","0"
"312300","1"
"314531","1"
"316488","1"
"318341","1"
"319576","1"
"319847","0"
"321423","1"
"321793","1"
"323189","0"
"323407","1"
"325158","0"
"327216","1"
"331428","1"
"331536","1"
"332645","0"
"335448","0"
"338102","0"
"338406","0"
"342409","0"
"342632","0"
"348305","0"
"348616","1"
"350647","1"
"351733","1"
"351823","0"
"354639","1"
"361441","0"
"364483","1"
"371018","1"
"376452","0"
"377195","0"
"377973","1"
"378773","0"
"378958","1"
"384121","1"
"387028","0"
"389069","1"
"399114","0"
"400802","0"
"401183","0"
"404838","1"
"405246","1"
"410184","1"
"411798","1"
"411921","1"
"416345","1"
"423128","0"
"424549","1"
"424716","1"
"426230","1"
"427517","0"
"430163","1"
"431000","0"
"433682","1"
"433700","1"
"434734","1"
"437802","1"
"438863","1"
"439187","1"
"439572","0"
"443090","1"
"445382","1"
"445700","0"
"449736","0"
"449778","1"
"453696","1"
"455408","0"
"456604","1"
"457129","1"
"459822","1"
"461335","1"
"463181","1"
"464334","0"
"464358","1"
"464560","1"
"468768","1"
"470331","0"
"471703","1"
"476576","1"
"480562","1"
"481673","1"
"482375","1"
"482818","1"
"482884","0"
"486383","1"
"488984","0"
"496330","1"
"497163","1"
"499795","1"
"499879","1"
"499939","0"
"503816","1"
"504118","1"
"504810","1"
"507109","1"
"523084","1"
"524825","1"
"525065","1"
"525333","1"
"528559","1"
"529327","0"
"530504","1"
"532136","0"
"532981","1"
"533387","1"
"534735","1"
"538485","1"
"539730","1"
"540073","1"
"544662","1"
"547679","1"
"548164","1"
"549507","0"
"550195","1"
"551069","1"
"554138","1"
"555292","1"
"556194","0"
"557414","1"
"558122","1"
"563045","1"
"564576","1"
"566078","1"
"567014","1"
"568035","1"
"569573","1"
"570781","1"
"570793","1"
"570907","1"
"571076","1"
"575328","1"
"575840","0"
"577102","1"
"577133","1"
"578202","1"
"578304","1"
"583776","0"
"584714","1"
"586734","1"
"588622","0"
"594006","1"
"594321","1"
"595326","0"
"595450","0"
"597213","0"
"598167","1"
"599744","1"
"600530","1"
"601692","1"
"603313","0"
"604391","1"
"605845","1"
"607348","1"
"607374","1"
"608511","1"
"609447","0"
"609840","0"
"610131","1"
"610916","1"
"611672","1"
"612097","1"
"614193","0"
"614710","1"
"614794","1"
"625784","1"
"627364","0"
"628526","1"
"631607","1"
"631632","1"
"635409","1"
"637740","1"
"638277","1"
"640175","1"
"642245","0"
"643173","0"
"644370","1"
"646868","1"
"648194","0"
"650468","1"
"654154","1"
"654471","1"
"655382","0"
"656669","1"
"660838","1"
"661464","1"
"661784","0"
"661948","1"
"662853","1"
"641081","0"
"641156","1"
"644230","1"
"645883","1"
"646010","1"
"646361","0"
"646828","0"
"646928","1"
"647892","1"
"648334","1"
"649618","1"
"650923","1"
"651652","1"
"651734","1"
"652670","0"
"652738","1"
"653839","1"
"653980","1"
"656420","0"
"657791","0"
"662748","1"
"663617","1"
"664718","1"
"667410","1"
"670353","1"
"670536","0"
"670986","1"
"671490","1"
"671790","1"
"673826","1"
"674722","1"
"676709","1"
"680430","1"
"681200","1"
"682719","1"
"684684","1"
"691676","0"
"693139","1"
"695982","1"
"697560","1"
"697618","1"
"697978","1"
"698973","1"
"701004","1"
"703192","1"
"703316","0"
"706970","1"
"708339","1"
"708990","0"
"710613","1"
"710904","0"
"711220","1"
"713042","1"
"716421","0"
"716736","1"
"717614","1"
"718490","1"
"722814","1"
"722922","1"
"723925","0"
"726974","1"
"728312","1"
"728535","1"
"728847","1"
"728939","1"
"733082","1"
"736307","1"
"736759","0"
"737411","0"
"742089","1"
"742391","1"
"743044","1"
"744055","1"
"747489","1"
"749068","0"
"750178","1"
"752460","1"
