Id,AnswerCount
"25","9"
"264","5"
"330","10"
"601","5"
"609","5"
"1041","10"
"1069","15"
"1104","7"
"1241","4"
"1982","4"
"2256","4"
"2756","15"
"3049","11"
"3150","12"
"3230","5"
"3231","3"
"4306","11"
"5727","28"
"5892","5"
"6915","10"
"7209","3"
"7489","5"
"7525","12"
"7664","3"
"7880","5"
"8263","3"
"8443","6"
"8451","13"
"8748","13"
"8896","12"
"9321","10"
"9589","10"
"9629","4"
"9667","2"
"9938","3"
"10059","6"
"10880","5"
"10901","6"
"10985","8"
"11060","8"
"11127","4"
"11405","5"
"11491","9"
"11562","4"
"11635","29"
"11854","10"
"12319","5"
"12332","7"
"12594","3"
"12633","12"
"12716","5"
"13128","6"
"13473","7"
"13607","9"
"13806","3"
"14126","1"
"14165","6"
"14271","1"
"14491","5"
"15240","13"
"15254","7"
"15398","4"
"15635","13"
"15822","8"
"16167","6"
"17117","4"
"17181","5"
"17228","24"
"17299","5"
"17333","24"
"17434","30"
"17483","14"
"17612","3"
"17670","4"
"17786","3"
"17928","3"
"18765","4"
"18869","4"
"18959","6"
"19193","2"
"19347","10"
"20731","8"
"20787","4"
"21303","5"
"21558","11"
"21593","25"
"21647","7"
"22239","4"
"22379","4"
"22459","10"
"22901","4"
"23190","10"
"23197","4"
"23209","4"
"23370","2"
"23918","6"
"24109","45"
"24196","3"
"24207","3"
"24212","1"
"24542","8"
"24901","16"
"24995","9"
"25461","3"
"25730","7"
"25771","6"
"25902","6"
"26098","6"
"26151","3"
"26663","21"
"27220","5"
"27247","2"
"27492","8"
"27607","8"
"27640","4"
"27700","5"
"27779","7"
"27857","8"
"27998","6"
"28002","8"
"28080","6"
"28124","8"
"28160","12"
"28212","7"
"28261","5"
"28605","15"
"29242","7"
"29383","9"
"29890","6"
"30099","5"
"30373","29"
"30521","2"
"30729","7"
"30998","10"
"31693","13"
"31867","3"
"31913","5"
"32168","10"
"32332","10"
"33042","5"
"33306","3"
"34065","5"
"34125","5"
"34151","5"
"34294","5"
"34325","7"
"34506","5"
"34544","2"
"34732","9"
"34955","3"
"34987","15"
"35485","4"
"35522","1"
"35762","4"
"35950","7"
"36039","3"
"36077","13"
"36114","4"
"36347","11"
"36832","6"
"36890","5"
"36991","3"
"37067","4"
"37346","8"
"37398","4"
"37428","7"
"37473","6"
"37799","3"
"37956","7"
"38037","8"
"38299","4"
"38447","7"
"38501","5"
"38822","5"
"38842","2"
"38934","6"
"38974","1"
"39064","3"
"39304","3"
"39419","6"
"39468","3"
"39474","12"
"39525","2"
"39912","7"
"40423","7"
"41045","8"
"41400","7"
"41453","30"
"41583","2"
"41590","15"
"41654","7"
"41676","3"
"41832","1"
"42126","4"
"42308","11"
"42446","2"
"42531","8"
"42770","1"
"43194","5"
"43253","8"
"43322","8"
"43766","5"
"44005","3"
"44693","10"
"44821","1"
"45086","6"
"45135","10"
"45286","5"
"45528","4"
"45627","29"
"45658","2"
"45972","12"
"47538","2"
"47780","3"
"47901","5"
"47975","8"
"47980","5"
"47981","24"
"48017","7"
"48053","12"
"48094","7"
"48299","10"
"48338","4"
"48390","3"
"48426","2"
"48496","7"
"48647","7"
"49035","7"
"49046","4"
"49098","5"
"49137","4"
"49168","3"
"49211","2"
"49258","2"
"49455","3"
"49610","10"
"50120","4"
"50311","4"
"51032","4"
"51266","3"
"51436","1"
"51548","5"
"51592","8"
"51667","20"
"51687","2"
"51859","5"
"51948","13"
"51949","23"
"52357","3"
"52431","1"
"52506","4"
"52557","4"
"52714","5"
"52772","4"
"53599","7"
"53757","11"
"53811","11"
"53849","33"
"54142","9"
"54188","15"
"54585","22"
"54674","9"
"54795","6"
"55093","5"
"55440","3"
"55451","3"
