Id,AnswerCount
"123","16"
"126","18"
"382","1"
"564","22"
"2092","5"
"2158","5"
"2931","1"
"2968","15"
"3049","11"
"3881","26"
"4080","12"
"4149","10"
"4242","8"
"4630","3"
"4922","3"
"5222","4"
"5328","7"
"5527","8"
"5855","1"
"6222","2"
"6392","4"
"6612","16"
"6639","5"
"6658","12"
"6765","6"
"6816","6"
"7269","3"
"7539","5"
"7596","10"
"7661","6"
"7681","2"
"7720","18"
"7779","6"
"8219","3"
"8318","4"
"8569","11"
"8599","4"
"8968","5"
"9044","5"
"9361","1"
"10042","6"
"10506","2"
"10586","3"
"10980","3"
"11088","7"
"11338","3"
"11341","6"
"11561","4"
"11930","15"
"12088","7"
"12144","15"
"12870","11"
"12877","7"
"12927","8"
"13225","4"
"13751","18"
"13863","7"
"14397","4"
"14617","16"
"14801","2"
"15305","5"
"15481","10"
"15496","100"
"15649","7"
"15690","10"
"15695","5"
"15732","11"
"15851","12"
"15899","4"
"15949","4"
"16140","8"
"16451","6"
"16487","9"
"16557","7"
"16689","9"
"16935","6"
"17373","9"
"17645","6"
"17944","15"
"17993","7"
"18524","19"
"18538","8"
"19011","8"
"19295","4"
"19347","10"
"19766","9"
"19838","3"
"19893","13"
"19952","4"
"20003","2"
"20034","7"
"20127","7"
"20227","5"
"20778","4"
"20880","1"
"21207","4"
"21211","2"
"21652","11"
"21738","3"
"21817","13"
"21934","9"
"22115","13"
"22409","4"
"22697","14"
"22720","3"
"22798","3"
"22816","11"
"23106","6"
"23372","2"
"23402","4"
"23445","8"
"23763","4"
"23853","2"
"23950","1"
"24221","8"
"24495","2"
"24551","13"
"24596","25"
"24623","4"
"24723","9"
"24866","11"
"24991","4"
"25033","3"
"25192","8"
"25449","6"
"25530","3"
"25532","3"
"25552","14"
"25614","3"
"25637","9"
"25765","14"
"26305","9"
"26458","32"
"26547","3"
"26594","7"
"26638","3"
"26984","7"
"27129","7"
"27240","5"
"27532","4"
"27572","3"
"27578","17"
"27581","11"
"27598","7"
"28202","7"
"28241","7"
