Id,AnswerCount
"13","24"
"845","10"
"1401","4"
"1873","5"
"3224","5"
"3319","15"
"3362","6"
"3385","6"
"3404","7"
"3713","20"
"3868","5"
"4392","14"
"4544","4"
"4884","2"
"4923","13"
"5118","4"
"5179","6"
"5223","30"
"5482","8"
"5913","11"
"6373","6"
"6426","10"
"6441","3"
"6499","7"
"6661","5"
"7031","6"
"7034","5"
"7118","9"
"7477","18"
"7540","5"
"7592","5"
"7773","7"
"8398","11"
"9072","2"
"9104","5"
"9289","6"
"9301","6"
"9341","2"
"9434","10"
"9831","2"
"10038","4"
"10366","9"
"10478","5"
"12794","5"
"13021","8"
"13362","5"
"13763","9"
"14909","4"
"15007","3"
"15139","14"
"15302","3"
"15390","8"
"15514","3"
"15731","8"
"15788","2"
"16199","5"
"16458","4"
"16529","5"
"16638","2"
"17435","17"
"17817","4"
"18077","7"
"18082","47"
"18858","2"
"18861","9"
"18912","9"
"18985","17"
"19035","8"
"19127","5"
"19173","4"
"19280","6"
"19461","3"
"19970","3"
"20376","7"
"20510","6"
"21294","20"
"21651","5"
"21992","5"
"22429","2"
"22466","4"
"22909","6"
"22976","5"
"23176","6"
"23217","10"
"23620","3"
"24046","10"
"24642","10"
"24678","8"
"24816","24"
"24821","5"
"24849","12"
"25161","7"
"25240","3"
"25367","7"
"26173","3"
"26255","9"
"26393","6"
"26536","2"
"26897","13"
"27030","7"
"27034","3"
"27219","3"
"27242","14"
"27258","9"
"27509","38"
"27643","3"
"28932","14"
"29053","7"
"29174","10"
"29399","9"
"29624","6"
"29680","3"
"29709","3"
"29886","8"
"29943","13"
"30003","5"
"30005","13"
"30036","13"
"30121","5"
"30319","11"
"30397","2"
"30540","4"
"30706","5"
"30811","12"
"31044","34"
"31097","3"
"31129","6"
"31295","5"
"31701","2"
"31711","1"
"31722","12"
"31931","6"
"31935","8"
"32173","2"
"32414","20"
"32540","7"
"32621","5"
"32633","5"
"32871","5"
"33080","8"
"33103","2"
"33104","4"
"33301","3"
"33347","5"
"33860","7"
"33893","5"
"34076","1"
"34126","6"
"34476","7"
"34486","6"
"34536","5"
"34655","5"
"34705","3"
"34790","4"
"34988","2"
"35050","11"
"35699","11"
"36101","2"
"36144","3"
"36183","4"
"36515","2"
"36778","4"
"37122","11"
"37141","1"
"37684","20"
"38408","3"
"38838","13"
"38998","10"
"39691","9"
"39879","15"
"39960","6"
"39983","4"
"40026","8"
"40125","2"
"40151","2"
"40655","5"
"40912","9"
"40966","10"
"40994","13"
"41027","5"
"41162","4"
"41179","6"
"41207","6"
"41446","3"
"41692","1"
"41928","3"
"41948","13"
"42068","7"
"42247","7"
"42254","8"
"42323","5"
"42610","3"
"43218","5"
"43455","1"
"43458","1"
"43569","3"
"43584","4"
"43811","4"
"43926","3"
"43955","9"
"44190","5"
"44359","9"
"44401","8"
"44763","11"
"44903","3"
"45015","20"
"45097","16"
"45169","2"
"45600","4"
"45613","5"
"45827","12"
"45861","3"
"45888","10"
"46079","7"
"46155","65"
"46214","12"
"46219","3"
"46489","3"
"46704","6"
"46982","3"
"47078","3"
"47817","7"
"47824","18"
"47937","3"
"48215","2"
"48239","16"
"48338","4"
"48497","6"
"48919","3"
"48931","4"
"48993","4"
"48999","11"
"49156","2"
"49158","4"
"49431","1"
"49564","7"
"49599","4"
"49630","6"
"49699","4"
"50097","2"
"50115","3"
"50315","5"
"50426","7"
"50470","2"
"50579","2"
"50585","2"
"50814","2"
"51165","8"
"51185","8"
"51283","5"
"51289","1"
"51352","13"
"51564","3"
"52080","5"
"52238","6"
"52344","5"
"52359","6"
"52646","5"
"52785","5"
"52873","1"
"52931","2"
"53256","4"
"53473","4"
"53555","1"
"53639","5"
"53802","5"
"53945","7"
"54147","6"
"54237","4"
"54426","3"
"54475","10"
"54539","15"
"54626","2"
"55203","2"
"55330","2"
"55611","28"
"55633","6"
"55677","19"
"55860","8"
"55871","7"
"56479","4"
"56630","3"
"56771","1"
"56905","3"
"57034","1"
"57202","7"
"57238","6"
"57522","4"
"57652","7"
"57791","4"
"57803","22"
"57812","14"
"57854","17"
"58184","3"
"58317","6"
"58825","5"
"59719","10"
"59734","3"
"59766","9"
"59896","3"
"60030","5"
"60455","10"
"60484","6"
"60590","11"
"60794","1"
"60825","6"
"60944","2"
"61088","99"
"61372","3"
"61552","31"
"61655","8"
"61688","4"
"61760","3"
"61850","3"
"61902","4"
"61972","10"
"62086","3"
"62784","31"
"63011","8"
"63035","4"
"63081","7"
"63181","2"
"63581","6"
"63743","6"
"63918","20"
"64010","7"
"64420","11"
"64605","3"
"64820","4"
"64843","4"
"64904","10"
"65119","3"
"65434","9"
"65491","17"
"65800","13"
"66006","4"
"66420","11"
"66422","13"
"66492","3"
"66649","7"
"66837","15"
"66840","4"
"67045","18"
"67207","14"
"67612","4"
"67682","5"
"67713","3"
"67734","6"
"68012","5"
"68067","4"
"68103","2"
"68165","15"
"69430","16"
"69445","3"
"69546","6"
"69602","3"
"69722","3"
"69913","10"
"70554","2"
"70785","5"
"71309","2"
"71944","15"
"72090","3"
"72921","5"
"72943","5"
"72958","2"
"73335","4"
"73628","8"
"73960","27"
"73971","3"
"74048","30"
"74266","5"
"74315","20"
"74786","5"
"75134","4"
"75181","4"
"75322","30"
"75943","8"
"75980","12"
"76179","4"
"76571","2"
"76905","3"
"76976","8"
"77287","2"
"77431","4"
"78570","11"
"78703","9"
"78909","10"
"78932","16"
