Id,HasAcceptedAnswer
"1476","1"
"1854","1"
"2933","1"
"5136","1"
"8748","1"
"8948","0"
"12591","0"
"15798","1"
"22676","1"
"23907","1"
"25661","0"
"26706","1"
"29562","1"
"31875","1"
"32385","1"
"32404","1"
"33475","1"
"34209","1"
"35805","1"
"35922","1"
"35948","1"
"36647","1"
"36806","1"
"36932","1"
"37535","1"
"38238","1"
"38435","1"
"39104","0"
"43709","0"
"43775","1"
"44352","0"
"44778","1"
"45122","1"
"47953","1"
"49307","0"
"51658","0"
"52652","0"
"53027","1"
"53162","1"
"53428","1"
"53543","0"
"53997","1"
"54867","1"
"56011","1"
"56820","1"
"61517","1"
"63488","0"
"65076","0"
"68645","1"
"71468","0"
"72899","1"
"75440","1"
"75829","0"
"76882","0"
"78431","1"
"85985","1"
"90052","0"
"90413","1"
"91183","0"
"91205","1"
"91666","1"
"91890","1"
"92620","0"
"92928","1"
"94490","1"
"94875","1"
"98135","1"
"100298","1"
"100624","1"
"101301","1"
"102394","1"
"106630","1"
"106850","0"
"107675","0"
"108193","1"
"109087","1"
"110760","1"
"112483","0"
"112564","1"
"113007","1"
"113341","1"
"115316","1"
"115764","0"
"115773","1"
"115866","0"
"115974","1"
"116494","1"
"117167","1"
"117211","1"
"117477","0"
"118096","1"
"118221","1"
"118516","0"
"118591","1"
"119802","1"
"120061","1"
"125034","1"
"126787","1"
"128259","0"
"128933","1"
"129144","1"
"133774","1"
"134834","0"
"135035","1"
"135303","1"
"136097","1"
"136739","1"
"138353","1"
"138521","1"
"138552","1"
"141487","1"
"143632","1"
"145270","1"
"145607","1"
"146607","1"
"147752","1"
"148963","1"
"149307","0"
"150743","0"
"154504","1"
"156360","1"
"156951","1"
"157313","1"
"157662","1"
"160905","1"
"161367","1"
"163603","1"
"163823","1"
"166506","1"
"167439","1"
"168167","1"
"171662","0"
"171694","0"
"172720","0"
"175044","1"
"176179","1"
"180809","1"
"182229","1"
"183853","1"
"184187","1"
"186131","1"
"187621","1"
"189751","1"
"190010","1"
"191062","0"
"192367","1"
"194339","0"
"195534","1"
"195625","1"
"196217","0"
"196755","1"
"199059","1"
"200373","0"
"201515","1"
"203487","1"
"205204","0"
"205704","1"
"206245","0"
"206916","0"
"207234","1"
"208120","0"
"211100","1"
"211501","1"
"212715","0"
"214059","1"
"214536","1"
"214852","1"
"215052","0"
"215689","0"
"215815","0"
"216657","0"
"219215","1"
"220777","0"
"221386","1"
"222450","1"
"222581","1"
"222752","1"
"223328","1"
"224337","1"
"224796","0"
"227790","1"
"229186","1"
"231767","1"
"233320","1"
"234590","0"
"235435","1"
"237155","1"
"237432","1"
"237699","1"
"237859","0"
"237876","0"
"239020","1"
"240659","1"
"241007","1"
"241503","1"
"244720","0"
"245237","1"
"250283","0"
"251464","1"
"252221","1"
"252531","1"
"252951","1"
"255147","1"
"257563","1"
"259491","0"
"259578","1"
"259634","0"
"262460","1"
"263296","1"
"264224","1"
"264540","0"
"268089","0"
"270983","1"
"271825","0"
"273524","0"
"273698","1"
"276281","1"
"279237","1"
"279707","0"
"280243","1"
"280324","1"
"280435","1"
"281922","1"
"283766","1"
"285061","1"
"285938","1"
"286150","0"
"286558","1"
"286958","1"
"287312","0"
"287845","1"
"288546","1"
"289668","0"
"289735","1"
"289978","1"
"292167","1"
"293344","1"
"293444","0"
"294712","1"
"294963","1"
"295459","1"
"296036","1"
"296270","1"
"297294","1"
"302835","1"
"304883","0"
"305378","1"
"306130","1"
"306313","1"
"306671","1"
"307038","1"
"307305","1"
"308912","1"
"309129","1"
"310459","1"
"310732","1"
"310890","0"
"311202","1"
"311300","1"
"311963","1"
"312096","1"
"312263","1"
"314583","0"
"315803","1"
"316238","1"
"319132","1"
"321795","1"
"323032","1"
"324779","1"
"324980","1"
"325165","0"
"326910","1"
"327026","0"
"327101","0"
"327311","0"
"328356","1"
"333487","1"
"334655","1"
"334765","1"
"336963","0"
"337688","1"
"338008","0"
"338217","1"
"338767","0"
"339053","1"
"339387","1"
"339856","1"
"340972","1"
"341184","0"
"344442","1"
"344559","1"
"346230","1"
"348044","1"
"349206","1"
"351760","1"
"351821","1"
"352079","1"
"352340","1"
"352537","1"
"354370","0"
"356090","1"
"356483","1"
"357810","1"
"357997","1"
"358398","0"
"358471","0"
"358783","1"
"359409","1"
"360368","1"
"361889","0"
"362808","1"
"363944","1"
"365082","1"
