Id,AnswerCount
"3210025","3"
"8984174","2"
"9109872","4"
"9271924","3"
"9271970","5"
"9282805","1"
"9298459","2"
"9450224","1"
"9645595","1"
"9646490","2"
"9660086","1"
"9942426","2"
"11441584","2"
"11490538","1"
"11493164","1"
"11506342","1"
"11512007","1"
"12623026","2"
"13099233","1"
"13102786","2"
"13212212","3"
"13241190","1"
"13295173","1"
"13322479","6"
"13579266","7"
"13619520","2"
"14154753","3"
"14189604","2"
"14459647","1"
"14804256","1"
"14816336","1"
"15041794","2"
"15265198","3"
"15309071","2"
"15378530","2"
"15379408","3"
"15488425","1"
"15535343","1"
"15619320","11"
"15836096","3"
"15886661","1"
"15990084","2"
"15994036","1"
"15997206","3"
"16005572","1"
"16159796","1"
"16197064","1"
"16255570","2"
"16265748","2"
"16267578","2"
"16289880","2"
"16346048","1"
"16421033","2"
"16427159","1"
"16494822","2"
"16504643","2"
"16601160","1"
"16646997","4"
"16705625","1"
"16716877","1"
"16727703","1"
"16744599","1"
"16745279","1"
"16745907","3"
"16747802","1"
"16754164","1"
"16755181","1"
"16764464","1"
"16803730","1"
"16803900","1"
"16818588","1"
"16866187","1"
"16879287","1"
"16892882","2"
"16905004","1"
"16911554","1"
"16946888","1"
"17014839","1"
"17017250","2"
"17054978","3"
"17304897","1"
"17340985","1"
"17445485","2"
"17490716","1"
"17514598","4"
"17520543","2"
"17535542","1"
"17602715","1"
"17636656","1"
"17727016","3"
"17826091","1"
"17887065","3"
"17913031","2"
"17935693","1"
"18028473","1"
"18049723","1"
"18051645","1"
"18083784","2"
"18094976","2"
"18139407","1"
"18140088","2"
"18331546","2"
"18374612","2"
"18433840","1"
"18479648","3"
"18499830","1"
"18623669","1"
"18674413","2"
"18776499","2"
"18920456","1"
"18943513","1"
"19054143","1"
"19066402","1"
"19076719","3"
"19213494","1"
"19214124","1"
"19336111","1"
"19387003","1"
"19416437","2"
"19418647","4"
"19433827","1"
"19450145","3"
"19499387","1"
"19507730","1"
"19510454","1"
"19546512","1"
"19599490","1"
"19602253","1"
"19604985","1"
"19605132","4"
"19607564","1"
"19612801","1"
"19649005","1"
"19650265","1"
"19667717","1"
"19670773","1"
"19677180","2"
"19720763","1"
"19728795","1"
"19771206","2"
"19854513","1"
"19900077","1"
"19921499","1"
"19923351","1"
"19966180","2"
"20042366","2"
"20113338","1"
"20175609","1"
"20342436","2"
"20433555","2"
"20436624","1"
"20445975","1"
"20450637","1"
"20456601","1"
"20478664","1"
"20543746","2"
"20698384","1"
"20734743","1"
"20790793","1"
"20817492","2"
"20861217","3"
"20891327","1"
"20895592","2"
"20906378","1"
"20921988","1"
"20922091","3"
"20925740","1"
"20967855","1"
"20993909","1"
"21011330","3"
"21049820","1"
"21050480","2"
"21066133","2"
"21073709","2"
"21104320","2"
"21117702","2"
"21130272","1"
"21152429","1"
"21157408","1"
"21157789","1"
"21172527","1"
"21177436","1"
"21196525","1"
"21214964","2"
"21226942","2"
"21257686","2"
"21273648","1"
"21274284","2"
"21309167","3"
"21318993","2"
"21323812","2"
"21324657","1"
"21367197","1"
"21369876","2"
"21371534","3"
"21372100","1"
"21389805","1"
"21393508","1"
"21426970","1"
"21435202","1"
"21485655","2"
"21494312","3"
"21510694","1"
"21561919","1"
"21569315","1"
"21569718","2"
"21575198","3"
"21615188","3"
"21618497","1"
"21639832","1"
"21655032","2"
"21669722","2"
"21687719","1"
"21747136","6"
"21791786","1"
"21814304","1"
"21844471","1"
"21899116","1"
"21904948","1"
"21913785","1"
"21922991","1"
"21933892","0"
"21957476","1"
"21975102","1"
"22000230","1"
"22005693","2"
"22048673","1"
"22071335","1"
"22116547","1"
"22118221","1"
"22155130","3"
"22160148","0"
"22187926","1"
"22188088","1"
"22200621","1"
"22209243","1"
"22243527","1"
"22264502","1"
"22265738","4"
"22268861","3"
"22282117","2"
"22292158","1"
"22297249","1"
"22340987","1"
"22355273","2"
"22358892","1"
"22419399","2"
"22461457","3"
"22490954","2"
"22524452","1"
"22585614","1"
"22596920","4"
"22602205","1"
"22690425","1"
"22738013","1"
"22752775","2"
"22758779","5"
"22835569","1"
"22852174","1"
"22868843","1"
"22873743","1"
"22905752","1"
"22927115","2"
"22935449","2"
"22949462","2"
"22997888","1"
"23022482","1"
"23032464","1"
"23039130","2"
"23053398","1"
"23061702","1"
"23073689","1"
"23100534","1"
"23121269","1"
"23135409","1"
"23140519","1"
"23148737","1"
"23158486","3"
"23176202","1"
"23180914","1"
"23233712","1"
"23239272","1"
"23239750","1"
"23246201","1"
"23311773","1"
"23328702","1"
"23331808","2"
"23336092","1"
"23336465","1"
"23338609","1"
"23339361","2"
"23346757","2"
"23350954","2"
"23366477","1"
"23371948","1"
"23380425","1"
"23385582","1"
"23391440","3"
"23406321","1"
"23426545","1"
"23430735","3"
"23434378","1"
"23437179","1"
"23440734","1"
"23440793","1"
"23450148","2"
"23465597","1"
"23477811","2"
"23574416","1"
"23578718","1"
"23582931","1"
"23585651","2"
"23617507","1"
"23623957","3"
"23624381","1"
"23629201","1"
"23643940","1"
"23674538","1"
"23707433","2"
"23714751","1"
"23743008","1"
"23743566","2"
"23757143","1"
"23781124","1"
"23794934","1"
"23795314","1"
"23810032","1"
"23810091","1"
"23833616","1"
"23839699","2"
"23840329","5"
"23840482","0"
"23850486","1"
"23859292","1"
"23859866","2"
"23892045","1"
"23914033","1"
"23920968","1"
"23922675","1"
"23942627","2"
"23965209","1"
"23969191","2"
"23975391","2"
"24022859","2"
"24023795","1"
"24047686","4"
"24058026","2"
"24070903","1"
"24102325","2"
"24102615","2"
"24105186","1"
"24107233","1"
"24109062","1"
"24110970","1"
"24112920","1"
"24145823","1"
"24153311","2"
"24158114","3"
"24162518","1"
"24191249","1"
"24196100","1"
"24200163","2"
"24214371","1"
"24222337","1"
"24224811","1"
"24245276","4"
"24253344","2"
"24271657","2"
"24276617","1"
"24284781","1"
"24285955","2"
"24287434","2"
"24291288","1"
"24292831","1"
"24297154","1"
"24301517","0"
"24326247","5"
"24340712","2"
"24349982","1"
"24363369","1"
"24364884","1"
"24375771","2"
"24394197","1"
"24394211","1"
"24396293","2"
"24397774","1"
"24417183","2"
"24422139","1"
"24443768","1"
"24456645","2"
"24460617","3"
"24463655","1"
"24502282","1"
"24503572","1"
"24508640","1"
"24512356","2"
"24516683","1"
"24518439","1"
"24522548","3"
"24525035","2"
"24541074","2"
"24542064","1"
"24542115","4"
"24554738","1"
"24574741","1"
"24579756","1"
"24585349","1"
"24587270","1"
"24594024","1"
"24594374","2"
"24601969","1"
"24602469","0"
"24603672","1"
"24618233","2"
"24633784","2"
"24635146","2"
"24661461","1"
"24664994","2"
"24678880","2"
"24689463","1"
"24689601","1"
"24707129","2"
"24715154","1"
"24717053","2"
"24718256","2"
"24725506","1"
"24728394","1"
"24749349","1"
"24750369","2"
"24759028","1"
"24771274","1"
"24771655","3"
"24786954","1"
"24789652","2"
"24791618","3"
"24794588","2"
"24794821","1"
"24797448","1"
"24809070","1"
"24813810","2"
"24831035","3"
"24831573","3"
"24831828","1"
"24841495","1"
"24842271","2"
"24847331","1"
"24847533","2"
"24853111","1"
"24855830","2"
"24857831","2"
"24872236","1"
"24872634","3"
"24877699","3"
"24895792","0"
"24898579","2"
"24904404","1"
"24905160","1"
"24924135","1"
"24936872","1"
"24943698","2"
"24943914","1"
"24959160","3"
"24969090","1"
"24969127","1"
"24972394","3"
"24973594","2"
"24974093","1"
"24977365","1"
"24979454","1"
"24982420","1"
"24982967","1"
"24988583","2"
"24990520","1"
"24993199","1"
"24998426","3"
"25006946","1"
"25007328","1"
"25020058","1"
"25026549","1"
"25027751","1"
"25052767","1"
"25060583","2"
"25070261","1"
"25072930","1"
"25074191","1"
"25091631","2"
"25102321","1"
"25106355","1"
"25106554","4"
