Id,Reputation
"2777","2262"
"6141","35947"
"6145","150072"
"6150","13998"
"6167","861"
"7068","36611"
"7666","12065"
"7673","3153"
"12412","13847"
"15542","5733"
"15574","1852"
"17238","22360"
"17251","7621"
"17260","2397"
"17263","13847"
"17357","7328"
"17367","5203"
"17994","100890"
"18775","4399"
"19383","15053"
"27084","13847"
"27089","72355"
"27370","86921"
"27371","6077"
"28389","5203"
"29172","3801"
"31349","13847"
"35573","46172"
"35924","1942"
"35925","99"
"38166","18572"
"38171","2955"
"38225","423"
"38754","30881"
"39162","423"
"39877","42545"
"42809","13847"
"42918","20454"
"63980","25026"
"75132","7626"
"78604","3505"
"78654","3505"
"79199","874"
"79203","25024"
"84426","411"
"89102","17602"
"92305","141008"
"98945","2209"
"157259","9988"
"342461","932"
"476874","689"
"697552","1337"
"766583","20816"
"880864","2662"
"881392","64533"
"881450","10278"
"894986","8105"
"1235050","922"
"1385821","370"
"1419312","1278"
"1616779","21"
"2139719","28151"
"2183816","1"
"2831449","2089"
"3474710","3878"
"3576205","2254"
"6464547","13"
"6773673","1870"
"7020431","1073"
"7400673","198"
"8216367","3416"
"9316199","87670"
"9392829","41"
"9748364","726"
"9973593","1076"
"10119963","2721"
"10415403","2020"
"10525736","396"
"11042931","5011"
"11668996","188471"
"12288730","47275"
"12968632","81"
"14422397","5239"
"14709836","551"
"16978637","31"
"17850033","3158"
"17863122","50"
"18093445","2601"
"21156538","359"
"21348923","3147"
"21408784","2541"
"24021504","1301"
"24594339","18"
"25199441","614"
"25560920","7108"
"25749716","3372"
"27642175","478"
"28752314","577"
"30283734","1"
"31320634","1651"
"32461658","41354"
"33108323","435"
"33266819","82528"
"34862475","82528"
"35184103","325"
"35747215","3423"
"35920711","791"
"39189370","352"
"39280903","11"
"40245401","138"
"40584017","51"
"41579911","143"
"42125720","21"
"44247584","1"
"44525428","11"
"45828988","1022"
"47193545","24"
"39898","2874"
"40301","1071"
"40339","803"
"40385","277073"
"40389","4512"
"40392","1412"
"40433","2925"
"40441","2925"
"40496","7027"
"40555","1389"
"42790","1258"
"48787","374"
"49111","5935"
"49114","18640"
"49115","107343"
"49125","5846"
"49406","8274"
"49409","10925"
"49482","1023"
"55775","46172"
"55778","6185"
"55782","36428"
"56814","4190"
"56980","3890"
"59921","10179"
"60887","46172"
"61716","28783"
"63941","1728"
"63973","9329"
"64008","3918"
"64106","20454"
"64247","334"
"64880","25024"
"66055","8433"
"66072","7465"
"66124","77991"
"66271","11145"
"66331","2000"
"68386","30700"
"68388","326"
"68390","22079"
"68397","79229"
"68400","3450"
"68411","29382"
"68412","72984"
"68413","1225"
"68419","6185"
"68421","4887"
"68424","38007"
"68429","6185"
"68441","13847"
"68449","24146"
"68496","2294"
"68547","1827"
"68551","1827"
"68576","31"
"68590","14416"
"68600","121"
"68781","2175"
"69031","4232"
"69033","4232"
"69039","4232"
"69041","19020"
"69118","4232"
"69198","1676"
"69385","103"
"69396","103"
"69449","725"
"69475","6077"
"69495","111"
"69716","3951"
"69737","176"
"69756","28165"
"69757","10341"
"69808","25026"
"69848","13847"
"69870","55279"
"69974","11"
"70190","1329"
"70609","55279"
"70612","22079"
"70620","7030"
"70628","4889"
"70629","12942"
"70637","24"
"70644","3319"
"70646","13981"
"70720","163220"
"70729","18362"
"70780","106314"
"71285","5850"
"71326","20454"
"71418","20239"
"71426","4188"
"71835","1609"
"71891","6396"
"71897","1609"
"71918","1206"
"71972","3262"
"72602","4022"
"73886","25024"
"73969","3205"
"74739","3315"
"74854","48765"
"74920","25024"
"74936","48765"
"74937","376"
"74992","5467"
"74995","3180"
"75092","289"
"75114","81"
"75187","538"
"75731","922"
"75765","7708"
"76257","3505"
"76514","97750"
"76773","13847"
"78459","36"
"78481","36"
"78482","135488"
"78525","3333"
"78526","1087"
"78600","3101"
"78601","44759"
"78618","167078"
"78631","135488"
"78653","135488"
"78923","25024"
"79400","7626"
"80630","7847"
"80637","918"
"80647","1233"
"80652","558068"
"80695","10328"
"81000","2192"
"81416","4339"
"81539","1987"
"81672","8155"
"83754","3248"
"84898","184671"
"84914","289"
"84921","5501"
"85903","3101"
"85932","1827"
"86712","10795"
"89642","643"
"89660","98254"
"89780","27367"
"95627","7708"
"104649","1258"
"106317","10757"
"110635","1717"
"111118","301561"
"139785","5703"
"143376","1117"
"153700","2774"
"164842","4868"
"171938","954"
"171943","3759"
"173682","8357"
"182080","13998"
"190777","55279"
"201915","3538"
"246128","163220"
"269512","2224"
"297346","11"
"297356","331232"
"328497","423"
"337006","2721"
"464638","10278"
"481899","689"
"506377","10278"
"567338","4164"
"739034","63907"
"748265","641"
"752619","145"
"752702","81598"
"805001","5113"
"1138910","5136"
"1453399","11442"
"1482133","2666"
"1520801","2590"
"1565096","34941"
"1581540","1709"
"1677878","11"
"1771722","1"
"1815323","63907"
"1833646","4965"
"1877000","1"
"2038065","157"
"2253065","191"
"2469330","30275"
"2566626","1"
"2633580","1416"
"2890180","13734"
"2894785","36"
"2922147","13734"
"2922191","13734"
"2922244","13734"
"3121473","443"
"3184434","69"
"3307917","4725"
"3436445","129"
"3539492","4734"
"3549013","3"
"3555084","1"
"3582023","2608"
"3619973","1452"
"3700146","1771"
"202638","167078"
"27051","167078"
"40200","5728"
"2764","150072"
"25792","150072"
"18843","150072"
"18117","150072"
"7043","150072"
"19134","30700"
"25790","5496"
"71798","26509"
"15577","5929"
"62054","25953"
"40195","79229"
"7041","68030"
"41088","5203"
"18831","32880"
"167515","32880"
"244136","23432"
"1699850","5172"
"40919","10497"
"26447","7367"
"158190","13998"
"26441","7636"
"128905","36611"
"208081","586047"
"194738","586047"
"28901","586047"
"128397","5135"
"3851454","19248"
"104036","1939"
"18400","53290"
"27161","29576"
"26439","123592"
"39917","10773"
"219418","257725"
"26451","10404"
"209474","21621"
"192440","36428"
"26456","36428"
"27080","13847"
"28893","13847"
"29114","13847"
"18837","13847"
"202611","13847"
"213856","13847"
"243797","8603"
"58233","6523"
"27053","5067"
"243803","4374"
"167466","5700"
"29089","5733"
"106325","2973"
"19200","3413"
"88815","1024"
"48793","9285"
"39185","357712"
"30638","8765"
"28903","25880"
"25789","32461"
"30085","276"
"187304","72355"
"213917","72355"
"62060","13538"
"29078","4611"
"40204","1198"
"30088","1133"
"29083","13571"
"28262","28306"
"28228","28306"
"60936","28306"
"193988","28306"
"144915","28306"
"29315","262545"
"105658","46172"
"60955","46172"
"40141","5374"
"29097","315"
"101016","141008"
"102241","141008"
"130521","141008"
"208260","141008"
