Id,Reputation
"332","3807"
"530","4500"
"602","167078"
"605","150072"
"667","6421"
"1055","78731"
"1062","150072"
"1071","5929"
"1072","30700"
"1086","321"
"1109","167078"
"1275","10341"
"1437","7383"
"1454","14615"
"1474","9676"
"1909","14160"
"1934","1249"
"1986","13654"
"2006","150072"
"2019","11410"
"2023","8519"
"2294","1078"
"2322","3533"
"2490","19226"
"2938","3862"
"3054","9164"
"3060","46258"
"3090","11410"
"3162","11410"
"3750","11754"
"4311","150072"
"4354","35337"
"4472","17346"
"4937","3169"
"5036","866"
"5722","789"
"5728","5929"
"5734","22657"
"5735","10497"
"5736","789"
"5750","20535"
"5754","254516"
"5772","8274"
"6352","20604"
"6416","775"
"7189","71"
"7283","4668"
"7510","6077"
"7650","4766"
"8330","135"
"8345","78731"
"9725","750"
"10139","7804"
"10141","14613"
"11091","4345"
"11664","27899"
"12978","976"
"13096","18542"
"13639","9341"
"21450","5246"
"22847","967"
"22912","33048"
"23118","912"
"23241","3844"
"24078","1463"
"26726","1126"
"30776","430"
"35003","24281"
"35029","186"
"35963","6066"
"38911","4467"
"39052","357712"
"41526","73727"
"47086","1800"
"48248","181"
"51664","10026"
"64482","7258"
"65870","42532"
"70727","974"
"74831","15743"
"76358","35195"
"82288","5417"
"93509","24439"
"109887","1827"
"110917","10666"
"118609","6370"
"123101","342"
"126184","33245"
"136881","25605"
"199163","1339"
"200955","121233"
"329687","11947"
"380781","5719"
"758499","12433"
"758569","13740"
"758598","1343"
"800619","658"
"819331","6951"
"824956","2732"
"842632","9059"
"867088","5260"
"1443907","1339"
"1829212","230"
"2057116","140140"
"4704825","1749"
"5309340","1694"
"5626132","101"
"7103219","1"
"9923618","6997"
"11211443","61623"
"13204366","127"
"13759497","8368"
"15475192","1579"
"24370334","2624"
"25700546","1146"
"27696214","18902"
"37100978","14731"
"37101290","14731"
"39989181","228"
"41024354","789"
"5903","16969"
"5940","11410"
"5945","5929"
"6725","11410"
"17198991","2201"
"1484067","538"
"38809","34003"
"16264783","853"
"15842434","25654"
"2057337","193666"
"1617761","8865"
"109076","1964"
"109061","141"
"94080","964"
"16548","18120"
"7611","586047"
"7564","690"
"7271","36611"
"2862","7171"
"2787","13654"
"2783","2262"
"2762","11754"
"73","167078"
"30","167078"
"2047957","66"
"196176","19143"
"193478","12510"
"83323","5290"
"70088","1338"
"47345","40523"
"29676","6378"
"23817","5430"
"17051","967"
"3329","7234"
"3310","5929"
"1546","6429"
"6943","46539"
"6955","36611"
"7036","167078"
"7044","23117"
"7052","36611"
"7511","19020"
"7536","6269"
"7543","36611"
"7549","4766"
"7559","19020"
"7566","36611"
"7567","36611"
"7573","78731"
"7584","150072"
"7613","586047"
"7669","586047"
