Id,Reputation
"30","167078"
"73","167078"
"537","12215"
"607","12215"
"1149","10535"
"1153","254516"
"1154","25358"
"1155","321"
"1163","271"
"2558","12048"
"2697","10538"
"2850","10535"
"2851","13654"
"2895","6429"
"2897","150072"
"2927","2604"
"2984","23899"
"5302","7234"
"5728","5929"
"5734","22657"
"5735","10497"
"5736","789"
"5750","20535"
"5754","254516"
"5772","8274"
"6416","775"
"6515","46258"
"7091","8673"
"7271","36611"
"7283","4668"
"7510","6077"
"7515","19020"
"7938","5813"
"8249","11754"
"8250","19248"
"9413","26052"
"9590","27208"
"10101","701"
"10527","4071"
"12851","36428"
"12978","976"
"13096","18542"
"16189","10071"
"18766","116"
"23118","912"
"23241","3844"
"23831","5430"
"25095","16793"
"26994","26202"
"28347","28306"
"29672","1823"
"29676","6378"
"31951","26202"
"35003","24281"
"35029","186"
"48248","181"
"51366","1233"
"55586","20170"
"109077","623"
"110917","10666"
"119880","1820"
"138534","141918"
"193478","12510"
"758499","12433"
"758569","13740"
"758598","1343"
"800619","658"
"819331","6951"
"842632","9059"
"867088","5260"
"1659332","31583"
"1774989","12869"
"1839737","9619"
"2057116","140140"
"2057337","193666"
"2959398","156"
"3481884","48837"
"5626132","101"
"6024343","5183"
"8712577","15"
"12293923","61"
"13204366","127"
"13967300","5023"
"15842434","25654"
"16264783","853"
"16694780","23636"
"19978070","15"
"21640919","11"
"26114129","279"
"30762430","17078"
"31055169","363"
"31635676","1511"
"33711874","1093"
"33870738","1135"
"34838293","19541"
"35494788","412"
"37661250","766"
"37919751","572"
"41387632","85"
"10552","36611"
"12353","25358"
"12452","7079"
"13136","1087"
"13140","3357"
"13206","20252"
"13477","46258"
"13481","8673"
"13482","39925"
"14169","30929"
"14177","107343"
"14195","78731"
"14352","6077"
"15248","12048"
"15262","33048"
"15281","3565"
"16094","11410"
"17029","967"
"17148","39157"
"17150","52"
"17209","967"
"17311","123592"
"17312","23117"
"17332","9341"
"17335","11947"
"17932","40798"
"18042","9341"
"20154","7042"
"22041","4449"
"22164","3586"
"22384","16365"
"22399","5203"
"22400","6344"
"22430","25888"
"22464","918"
"22473","27739"
"22486","6421"
"22488","16365"
"22495","16365"
"22496","16793"
"22504","13934"
"22516","6421"
"22547","36428"
"22799","967"
"22910","967"
"23145","6421"
"23196","357712"
"23210","20066"
