Id,Reputation
"384","30700"
"540","4359"
"566","4359"
"568","20838"
"583","10745"
"608","167078"
"1266","254516"
"2181","10535"
"2210","4358"
"2225","87968"
"2245","8953"
"2969","3261"
"2971","30700"
"2985","11754"
"3054","9164"
"3060","46258"
"3090","11410"
"3539","4500"
"3565","3138"
"3616","13929"
"3886","14799"
"3890","3365"
"4166","861"
"4206","30700"
"4247","16829"
"4256","46258"
"4384","9676"
"4492","30700"
"4493","9676"
"4498","2848"
"4932","30700"
"5042","19774"
"5091","3156"
"5164","9676"
"5224","5728"
"5227","87968"
"5351","254516"
"5357","3138"
"5360","10347"
"5532","5351"
"5536","963"
"5538","50444"
"5645","18941"
"4188","23899"
"3485","3138"
"3464","3138"
"939","18193"
"190","7383"
"183","4500"
"169","5822"
"143","4500"
"142","18877"
"139","22613"
"133","3807"
"128","10882"
"127","14799"
"3285","10497"
"2823","18286"
"1582","16033"
"6022","19774"
"6352","20604"
"6356","6894"
"6358","20604"
"6687","9676"
"6726","2848"
"7076","4027"
"7083","1511"
"7557","2198"
"7770","3488"
"7877","2587"
"8132","18193"
"8160","18232"
"8307","1066"
"9725","750"
"11042","51825"
"13262","2127"
"13277","4961"
"14968","2315"
"14980","1723"
"16755","18545"
"18261","89"
"21413","5571"
"22074","45712"
"24078","1463"
"29289","6052"
"32940","201214"
"36412","2434"
"36531","1511"
"37054","4132"
"41526","73727"
"51213","3561"
"53547","2629"
"55352","78521"
"65482","367"
"65870","42532"
"76957","20816"
"79845","17465"
"80009","1870"
"80551","5430"
"83955","29923"
"84013","3969"
"98244","4174"
"118609","6370"
"128153","201214"
"128396","3962"
"128488","244"
"144768","6206"
"154588","1569"
"157081","29923"
"161058","2709"
"452516","1255"
"498102","11450"
"1072549","149"
"2099971","3725"
"3455575","1272"
"3531547","506"
"6237699","836"
"7453067","11"
"8196334","4702"
"8462531","71"
"10195862","62"
"10261194","45620"
"10803105","13576"
"13311822","2333"
"13312050","2333"
"13539884","1009"
"14104551","162"
"15475192","1579"
"21469629","48837"
"22721701","12447"
"23096745","164"
"23633702","11"
"24795920","317"
"25056184","71"
"25700546","1146"
"28818516","224"
"30663317","61"
"32783641","7381"
"32851944","374"
"34576387","1407"
"35686676","144"
"37797743","2149"
"39013552","21"
"39635844","11"
"39658107","101"
