Id,Reputation
"849","5822"
"1148","10341"
"1405","20578"
"1875","7828"
"1881","10882"
"1886","19226"
"3320","23720"
"3321","8238"
"3372","4559"
"3390","30906"
"3398","5728"
"3406","15771"
"3409","48757"
"3560","31037"
"3726","20578"
"3752","12555"
"3777","3998"
"4026","15886"
"4546","30906"
"5160","26297"
"5161","10882"
"5162","30906"
"5185","3811"
"5219","1831"
"5232","5203"
"5614","2286"
"6444","15892"
"7923","25358"
"7953","25358"
"8045","5343"
"8096","26736"
"9132","19248"
"10747","10773"
"12453","23327"
"13130","2610"
"13585","4500"
"16037","7640"
"22526","2610"
"26453","38904"
"35819","2793"
"60686","580"
"68024","11432"
"76747","662"
"110355","245"
"464472","896"
"887291","1812"
"991196","144"
"1809974","23555"
"2112168","1023"
"2267512","1002"
"2280003","57715"
"2772306","1"
"2802366","491"
"2901216","6971"
"3577148","1793"
"3674216","120"
"4977299","198"
"5186696","7188"
"5492192","11736"
"5527037","12933"
"5607229","2235"
"6083463","52054"
"6316862","7290"
"6354219","1"
"6874074","721"
"7040311","4835"
"7177140","81"
"7217925","159"
"7866425","79"
"8307897","1663"
"8340357","1663"
"8741592","59"
"9043904","627"
"9447495","41"
"10087293","4507"
"10775887","178"
"11013093","13661"
"11717580","600"
"11836123","1528"
"12190240","7142"
"12398468","23882"
"13385418","182"
"14126931","141"
"14349537","26"
"14593214","520"
"15168927","50"
"15403629","368"
"17410790","3610"
"18473342","514"
"19113786","2415"
"19939808","31"
"21683642","37"
"23290310","1114"
"25734579","8300"
"25839604","147"
"27164392","11"
"29582806","413"
"32249448","726"
"33646923","211"
"35812420","1"
"40970986","35"
"42773184","69"
"42817465","1306"
"44718510","31"
"44718647","664"
"5488","50444"
"5493","9987"
"5500","50444"
"5921","676"
"5924","755"
"5939","5153"
"5947","32880"
"6376","15886"
"6387","8175"
"6424","25476"
"6429","4251"
"6431","13998"
"6434","2286"
"6436","15886"
"6456","15892"
"6465","90964"
"42756664","1775"
"41568276","113"
"39463380","2573"
"32375473","726"
"32295899","62558"
"29704278","113"
"23781882","31"
"23002017","21"
"20933776","1111"
"10608986","202055"
"3724089","1669"
"651342","5568"
"64089","2404"
"27035","2626"
"13918","5049"
"7856","19248"
"6790","1696"
"6285","8175"
"6280","8175"
"5190","4251"
"5156","1129"
"5151","4251"
"4963","25145"
"4897","7966"
"3958","50573"
"3937","11745"
"3917","11745"
"3871","11745"
"3371","1265"
"3370","7966"
"3361","4559"
"3233","30906"
"3225","10497"
"1527","10698"
"1418","14799"
"817","78731"
"797","10347"
"103","22613"
"29","1127"
"6996","5203"
"4402","1337"
"4398","390"
"4397","16383"
"4395","48757"
"6489","3998"
"6508","3998"
"6516","46258"
"6531","9002"
"6533","78731"
"6542","9002"
"6564","18952"
"6571","456"
"6573","2537"
"6662","109737"
"6672","456"
"6686","30906"
"6699","8175"
"6868","4092"
"7033","12555"
"7087","13742"
"7126","26297"
"7128","46539"
"7129","4027"
"7206","16735"
"7222","2118"
"7466","10497"
"7473","1321"
"7523","78731"
"7570","78731"
"7597","30700"
"7612","5343"
"7619","10341"
"7643","25358"
"7777","48757"
"7778","676"
"7783","993"
"7800","12555"
"7816","26736"
"7849","940"
"7875","118369"
"7876","19248"
"8399","33107"
"8401","6567"
"8413","71076"
"8433","20578"
"8697","25476"
"8709","14677"
"9105","26509"
"9109","22092"
"9295","46258"
"9297","25476"
"9313","110370"
"9327","11754"
"9329","861"
"9340","13194"
"9343","13194"
"9365","3998"
"9440","36611"
"9446","42325"
"9447","13507"
"9451","36611"
"9470","531"
"9814","25358"
"10048","18811"
"10053","17564"
"10054","2395"
"10368","13194"
"10378","13127"
"10485","15886"
"10502","15791"
"11197","4251"
"12421","23327"
"12804","26509"
"12810","26509"
"12844","3535"
"12910","2291"
"12983","823"
"13127","2610"
"13193","118369"
"13194","10538"
"13365","118369"
"13522","2537"
"13583","15892"
"13766","21621"
"13769","2519"
"13773","30700"
"13779","15892"
"13904","5049"
"13907","2519"
"13914","15892"
"14085","78521"
"14494","25358"
"14501","25358"
"14748","4092"
"14782","44366"
"14914","1691"
"14921","2519"
"14927","13062"
"15037","13407"
"15041","9862"
"15145","586047"
"15155","16078"
"15167","13407"
"15172","7383"
"15186","5090"
"15205","8953"
"15234","3357"
"15264","2610"
"15314","61626"
"15324","9862"
"15339","18232"
"15402","5733"
"15411","61626"
"15440","9285"
"15532","42545"
"15677","6476"
"15751","3413"
"15819","6203"
"15883","78521"
"16030","7640"
"16035","5067"
"16056","16672"
"16218","264"
"16230","1152"
"16261","8790"
"16297","7640"
"16304","1267"
"16535","33537"
"16538","1728"
"16547","6826"
"16549","4394"
"16551","48993"
"16552","7383"
"16555","32880"
"16720","22092"
"16793","44366"
"16855","21651"
"16898","747"
"16934","7640"
"16968","9002"
"16999","8754"
"17391","20211"
"17437","18952"
"17438","11947"
"17450","157"
"17456","40729"
"17511","12925"
"17562","79370"
"17703","6690"
"17713","13062"
"17736","415"
"17822","7966"
"17824","1267"
"17846","42545"
"17942","2860"
"18085","67447"
"18148","2860"
"18249","39925"
"19080","424"
"19176","1917"
"19203","19248"
"19317","23327"
"19329","23327"
"19506","7640"
"22604","3804"
"22765","1917"
"22768","13062"
"25322","8623"
"26416","38904"
"26427","48757"
"26602","8626"
"26865","23432"
"26946","9206"
"27782","11225"
"39011","9123"
"39033","26509"
"40020","157"
"41017","80"
"50595","5307"
"52690","939"
"59751","343"
"19464","37494"
"19229","42545"
"20384","14799"
"407194","14799"
"25034","16383"
"32281","8175"
"34807","48757"
"26483","48757"
"26411","48757"
"22613","48757"
"30366","22613"
"20532","50573"
"26417","50573"
"21300","50573"
"29992","50573"
"35062","4500"
"33096","25145"
"29987","25145"
"23244","25145"
"24701","30700"
"24690","30700"
"23466","15892"
"23365","15892"
"24396","15892"
"24934","15892"
"35114","15892"
"34130","15892"
"23187","7328"
"3338461","23636"
"24669","478"
"33899","78731"
"33941","78731"
"18884","78731"
"35081","375"
"28954","26509"
"33120","26509"
"25416","3873"
"31728","5929"
"66147","254516"
"23183","5205"
"31047","29261"
"23192","79229"
"28939","79229"
"21311","15791"
"22438","15791"
"26684","40729"
"26901","8482"
"29082","3998"
"33603","3998"
"22512","61626"
"19199","61626"
"24850","46258"
"34539","32880"
"21500","10497"
"27275","50444"
"18930","4251"
"241845","5052"
"27259","3314"
"30039","3314"
"19290","1508"
"23177","64005"
"35066","64005"
"35101","17777"
"34718","17777"
"30016","17777"
"22437","7240"
"35072","7240"
"27911","4092"
"27281","4092"
"27295","4092"
"137090","1129"
"25368","4262"
"58332","12410"
"27250","13998"
"30846","1241"
"30129","2537"
"35073","2537"
"21320","2537"
"29416","2537"
"34212","61009"
"23208","118369"
"23733","118369"
"26906","20066"
"22005","5100"
"68428","1614"
"24353","19219"
"31076","19219"
"32980","19219"
"33029","19219"
"25291","28370"
"22099","38877"
"30135","2971"
"20411","19248"
"24666","19248"
"24683","19248"
"22998","19248"
"30623","9126"
"20000","17835"
"31943","7817"
"20645","110639"
"34523","110639"
"24919","110639"
"22921","110639"
"24053","4800"
"47179","7596"
"27231","1704"
"27248","1704"
"30414","13"
"27278","2119"
"35711","18811"
"35718","18811"
"33102","1271"
"29918","104477"
"30561","10773"
"29961","257725"
"30013","6118"
"24638","7114"
"28938","7114"
"26475","7114"
"27932","7114"
"33500","7114"
"21297","13749"
"23181","13062"
"19293","972"
"22002","6812"
"227562","20098"
"18892","36428"
"30033","23327"
"31692","23327"
"31212","23327"
"34617","23327"
"19279","23327"
"19307","23327"
"19341","23327"
"25211","23327"
"24313","23327"
"25207","23327"
"30012","23327"
"21716","20211"
"26905","20211"
"30043","20211"
"20578","20211"
"33444","5941"
"19067","2291"
"30778","726"
"33448","40871"
"28249","4750"
"21917","2610"
"29726","39925"
"24953","39925"
"23207","39925"
"31939","39925"
"31318","39925"
"25165","13407"
"19190","5067"
"25611","5049"
"19348","5049"
"19276","5049"
"27510","1968"
"3472641","3481"
"25387","5733"
"29173","9820"
"23342","9820"
"37782","9820"
"29771","9821"
"30060","10168"
"28953","33537"
"40041","33537"
"25388","59804"
"29134","44366"
"27212","44366"
"23089","44366"
"28988","44366"
"26914","44366"
"22930","44366"
"35054","44366"
"34753","44366"
"31153","44366"
"32711","44366"
"32602","44366"
"33440","44366"
"33147","44366"
"34504","2013"
"29934","24359"
"24749","7875"
"32427","7875"
"19026","1024"
"29407","48993"
"34714","4282"
"22010","7640"
"18881","43743"
"18875","43743"
"30137","43743"
"32639","43743"
"26257","11089"
"21997","951"
"32203","14394"
"22559","1002"
"30672","843"
"32232","1726"
"444403","63511"
"23182","10585"
"23242","10585"
"26419","101133"
"27340","101133"
"27312","101133"
"19284","101133"
"33879","101133"
"34141","357712"
"34564","357712"
"31860","357712"
"27039","357712"
"29066","357712"
"20504","8754"
"18886","252"
"31319","252"
"30522","252"
"18903","252"
"34496","4901"
"30331","27236"
"29945","27236"
"25167","27236"
"18929","5909"
"20394","5909"
"19069","5909"
"1455844","5909"
"30722","18091"
"18941","4816"
"23239","4816"
"18874","4816"
"27098","2860"
"27006","15067"
"18901","4399"
"22677","4399"
"29073","7963"
"32450","2775"
"25031","70045"
"29908","70045"
"23237","39180"
"29966","2999"
"29896","32461"
"23655","32461"
"27517","7449"
"19978","4503"
"27264","781"
"27319","20938"
"21392","20938"
"29408","20938"
"33124","20938"
"30200","20938"
"20595","882"
"34492","1995"
"31338","19751"
"24870","19751"
"26418","4003"
"30744","3294"
"28105","38904"
"30050","5214"
"27254","12393"
"23468","12393"
"30197","11225"
"26679","4729"
"37679","2442"
"24059","529"
"24852","2049"
"29115","469"
"24653","1220"
"24862","2163"
"25262","14114"
"30020","4399"
"30845","6025"
"33130","99528"
"34855","12012"
"33129","15162"
"25124","445"
"66065","1251"
"32069","1142"
"27270","1142"
"25466","96"
