Id,Reputation
"15260","30700"
"47655","36428"
"47678","35337"
"66895","7207"
"67042","101133"
"68959","136"
"69892","22588"
"77372","3307"
"118964","2294"
"118969","17540"
"118985","3624"
"118988","8433"
"121134","35337"
"145142","35337"
"145883","4876"
"146000","4876"
"146078","36428"
"179521","70066"
"179950","36428"
"193833","521"
"196802","4799"
"199952","1750"
"200003","101455"
"200190","26470"
"200277","25026"
"203080","55568"
"215884","36428"
"215968","37317"
"215986","37317"
"216045","37317"
"216062","37317"
"67321","78731"
"36527","36428"
"25549","1153"
"24589","35543"
"219614","5840"
"235620","28489"
"244078","1512"
"244104","36428"
"244843","137145"
"257627","7066"
"264060","819"
"264390","819"
"269851","36428"
"269911","17787"
"308021","12143"
"327091","4553"
"329916","59946"
"330093","19932"
"384551","37317"
"406036","153283"
"413903","153283"
"430887","41528"
"431063","36428"
"431572","153283"
"478565","4645"
"478893","36428"
"501747","101455"
"501896","23117"
"501900","33255"
"502233","36428"
"512688","35337"
"512935","5919"
"520591","36428"
"520695","25026"
"524748","153283"
"524824","153283"
"525830","819"
"525863","819"
"527909","25026"
"534039","35337"
"538538","35337"
"539952","819"
"579106","35337"
"582690","2579"
"600999","5919"
"613020","18638"
"613393","35337"
"623164","41528"
"626190","31589"
"626223","7317"
"626729","35337"
"631386","35337"
"634953","35337"
"635057","35337"
"640548","5132"
"651654","18638"
"664428","14828"
"667220","2802"
"667743","35337"
"669693","2664"
"670222","153283"
"676092","3702"
"677970","3052"
"692884","2579"
"699713","84351"
"699755","153283"
"699834","19557"
"721156","5919"
"747946","5332"
"749511","131"
"750065","153283"
"816116","83826"
"818017","2664"
"822765","34389"
"822845","59"
"823051","101455"
"823338","153283"
"827406","11187"
"827594","37317"
"829115","37317"
"829238","37317"
"832621","84351"
"832798","153283"
"840282","2657"
"860717","2664"
"900626","83826"
"900673","819"
"904715","25510"
"904804","3731"
"920592","4876"
"931570","83826"
"937582","546899"
"938134","1798"
"941003","9837"
"941060","355"
"941064","1425"
"941127","55673"
"941177","18517"
"941220","52540"
"958209","25026"
"960742","5919"
"961808","6334"
"963769","83826"
"1048207","6334"
"1050162","137145"
"1050464","1607"
"1050546","83826"
"1056007","138449"
"1056018","100437"
"1056032","743"
"1056048","115762"
"1056076","4335"
"1056296","54417"
"1056354","17008"
"1056376","6690"
"1056435","73261"
"1058807","2657"
"907489","1798"
"1065577","2569"
"1072017","153283"
"1072768","1384"
"1075740","47708"
"1079505","6334"
"1095666","3635"
"1224659","18891"
"1254377","6334"
"1288074","35337"
"1302297","35337"
"1305170","262545"
"1314215","1520"
"1315391","856"
"1320978","1755"
"1321031","5374"
"1325852","4458"
"1586180","37317"
"1621641","192"
"1630144","9823"
"1853960","93"
"1891573","37317"
"2077028","1921"
"2177566","18415"
"2186888","41"
"2219578","18891"
"2485277","182973"
"2926149","18891"
"3475039","46"
"4055243","18891"
"4253859","130"
"4261663","18891"
"4461359","921"
"4506440","1798"
"4606114","3236"
"4720195","171"
"4734560","1810"
"4782410","6334"
"4977902","56284"
"7678584","70935"
"9318844","3496"
"9430660","2351"
"12175435","11"
"13375839","12543"
"16326936","4278"
"17256766","361"
"27674212","138"
"28643496","21747"
"33000776","9713"
"33831858","2963"
"34952434","2213"
"35090962","3504"
"36098304","710"
"43344362","362"
"45396045","125"
"1348001","5455"
"1348356","35337"
"1350839","1755"
"1384124","188836"
"1384150","83826"
"1397126","6886"
"1406118","35337"
"1412688","35337"
"1412715","62485"
"1416052","7855"
"1416083","49871"
"1416113","3702"
"1417284","63020"
"1418868","63020"
"1425034","83826"
"1425054","83826"
"1428778","259124"
"1428966","7855"
"1429119","36428"
"1429258","6334"
"1429279","83826"
"1430454","819"
"1430580","18891"
"1435433","51"
"1446531","36428"
"1451353","36806"
"1451525","83826"
"1451583","101455"
"1451660","7878"
"1451661","1755"
"1451725","589"
"1454842","25026"
"1461455","6034"
"1465361","6334"
"1467922","53438"
"1468019","507"
"1468030","100437"
"1468087","289943"
"1468610","1020"
"1468626","7780"
"1468831","85331"
"1469521","819"
"1469525","1017"
"1469787","755"
"1469955","16324"
"1469997","13017"
"1474965","63020"
"1475130","63020"
"1475780","7441"
"1476347","6334"
"1476481","6334"
"1477216","6334"
"1478067","546899"
"1478564","122700"
"1481111","7220"
"1481186","7600"
"1483555","78336"
"1483560","11037"
"1484336","188836"
"1484752","7600"
"1486887","7600"
"1494628","6034"
"1495346","4348"
"1495803","7220"
"1497938","7600"
"1502932","6334"
"1511134","36428"
"1514988","36428"
"1515637","563"
"1515999","18387"
"1537861","34389"
"1552937","7220"
"1555143","63020"
"1556116","4193"
"1558548","6334"
"1558558","188836"
"1572851","16969"
"1572852","35337"
"1575757","188836"
"1576535","63020"
"1584780","445"
"1584930","819"
"1586136","552"
"1586234","37317"
"1586448","21866"
"1586478","5122"
"1586581","501719"
"1586973","352398"
"1589398","552"
