Id,Reputation
"338","19020"
"342","3807"
"471","12238"
"497","7705"
"518","1703"
"525","4359"
"536","2756"
"538","12215"
"541","35337"
"595","150072"
"635","23899"
"660","6421"
"701","1831"
"735","10849"
"745","4359"
"750","10538"
"777","5877"
"783","8627"
"802","37383"
"982","10535"
"984","30700"
"1174","254516"
"1191","23899"
"1478","79229"
"1479","13654"
"1484","9164"
"1619","16829"
"1780","50573"
"1840","150072"
"1852","150072"
"1857","9164"
"1870","7828"
"1871","7171"
"1879","150072"
"1885","7705"
"1987","13654"
"2277","12215"
"2316","17346"
"2317","42545"
"2510","13654"
"2937","19226"
"2941","16829"
"2980","23899"
"2982","8323"
"3040","9604"
"3071","14160"
"3092","5203"
"3095","4316"
"3097","30700"
"3099","5807"
"3105","8323"
"3107","30202"
"3109","150072"
"3117","5351"
"3120","13654"
"3125","71076"
"4572","1047"
"4595","9495"
"4600","9495"
"4605","9495"
"5719","789"
"5746","12410"
"6161","20604"
"7073","4027"
"7090","167078"
"7286","17488"
"8024","10071"
"8312","168"
"8320","86921"
"8332","86921"
"12166","1374"
"12167","13062"
"12454","13236"
"12557","394"
"13107","2877"
"15938","8083"
"22525","982"
"25213","3697"
"27780","7317"
"27792","4003"
"28426","13376"
"28705","4315"
"29836","3609"
"31126","2323"
"31188","91422"
"31859","3450"
"33957","50836"
"37252","2066"
"57833","19527"
"61746","34790"
"69410","61"
"69772","481"
"74452","5901"
"123090","2874"
"123093","279"
"125140","1051"
"195170","106314"
"199213","108"
"202259","1277"
"265570","305"
"553500","1572"
"834451","24383"
"959064","7454"
"1573195","1405"
"2921293","131"
"3021004","671"
"4292022","2944"
"4813530","495"
"4905822","20091"
"7587420","49"
"7707465","61"
"7954780","7191"
"8961717","12511"
"9041763","3155"
"9120453","2860"
"9272378","1142"
"9636303","2257"
"12025554","659"
"13832269","520"
"14072943","399"
"14231316","33420"
"14443477","1627"
"14477954","3911"
"14885455","59932"
"15674751","2608"
"16240409","13660"
"16427674","11511"
"18434150","747"
"19393328","1816"
"20013133","2812"
"22959509","1452"
"23143835","24074"
"24748849","774"
"24865663","310"
"25863224","650"
"26250049","174"
"26250109","174"
"26250158","174"
"26643177","1658"
"28060251","105864"
"31296120","6862"
"31660194","105864"
"32076685","83"
"33058118","3762"
"33058407","3762"
"34014856","668"
"34404761","215"
"34850877","186"
"35496153","1668"
"37226387","105864"
"37955839","13"
"38062967","987"
"39051901","2800"
"40219576","333"
"41024742","500"
"43703054","81"
"43827427","20"
"44083156","1"
"44433045","1069"
"44617583","51"
"45341362","21"
"45431237","20"
"45679447","1850"
"45873519","7556"
"3135","3820"
"3198","37383"
"3273","4477"
"3651","15512"
"3742","8953"
"4128","42545"
"4162","134609"
"4425","1119"
"4426","1087"
"4505","15892"
"4559","10497"
"4958","3169"
"4978","2734"
"5014","866"
"5129","18952"
"5165","150072"
"41966334","2182"
"5168","11896"
"5302","7234"
"5319","8482"
"5320","7171"
"5340","3421"
"5343","15512"
"5400","279"
"5430","254516"
"5435","46258"
"5927","1515"
"5935","106314"
"5938","1515"
"5985","1515"
"6125","1515"
"6517","16255"
"6548","4668"
"6616","2848"
"6669","20066"
"6696","690"
"6805","20535"
"6836","8274"
"7496","18952"
"7713","38877"
"7716","5153"
"7748","15701"
"8020","10071"
"8109","19248"
"8114","36611"
"8165","10071"
"8699","17488"
"8760","774"
"8771","3169"
"8780","40436"
"8891","611"
"8972","13195"
"8974","16904"
"8976","7817"
"9080","106314"
"9134","3862"
"9144","36611"
"9171","8485"
"9358","86921"
"9504","48117"
"9604","812"
"10129","150072"
"10132","36611"
"10148","46258"
"10213","8323"
"10558","630"
"10778","10071"
"10845","39136"
"10846","39136"
"11074","254516"
"11128","12048"
"11235","28929"
"11277","18792"
"11443","107343"
"12609","13236"
"12928","2397"
"13040","1374"
"13185","1979"
"13399","3157"
"13403","35543"
"13405","46258"
"13406","5343"
"13435","8673"
"13456","39987"
"13579","2519"
"13598","106314"
"13608","586047"
"13844","3697"
"13869","586047"
"13875","3697"
"13882","2519"
"13902","78521"
"13906","5877"
"13943","823"
"13949","5762"
"13958","2519"
"13959","823"
"14304","3157"
"14314","786"
"14320","150072"
"14391","78521"
"14399","19219"
"14420","4022"
"14426","151"
"14436","24688"
"14479","13407"
"14507","13407"
"14793","4022"
"15261","9862"
"15291","16078"
"15296","4470"
"15898","37517"
"15931","1374"
"16049","10538"
"16091","123592"
"16189","10071"
"16191","100890"
"16198","100890"
"16327","86199"
"16875","16829"
"16929","100890"
"17287","86921"
"17300","8323"
"17933","123592"
"18424","35337"
"18430","2860"
"18431","16078"
"18433","9149"
"18435","7963"
"18497","16904"
"18856","557"
"19152","10849"
"19343","46258"
"19389","10341"
"19665","2327"
"19668","3750"
"19685","690"
"19692","13062"
"19700","4335"
"19715","100890"
"19943","1661"
"19968","4668"
"20065","9149"
"20069","8083"
"20150","20066"
"20153","104477"
"20169","9820"
"20222","36428"
"20843","23432"
"20845","5203"
"20848","586047"
"20859","91422"
"20983","7963"
"21221","19751"
"21247","992"
"21302","2537"
"21468","8083"
"21937","32461"
"21964","38032"
"21973","3697"
"21974","38032"
"21975","7817"
"22021","523"
"22042","255"
"22045","13934"
"22157","1515"
"22168","252"
"22206","879"
"22208","12925"
"22219","100890"
"22442","982"
"22624","357712"
"22630","30980"
"22682","9149"
"22721","7828"
"22723","10849"
"22776","16904"
"23041","12555"
"23395","4729"
"44291","7828"
"28436","22613"
"40593","150072"
"37081","150072"
"38071","150072"
"43616","10849"
"47201","23899"
"39437","23899"
"24962","23899"
"26611","10538"
"35110","10538"
"37203","78731"
"39089","254516"
"44843","254516"
"24939","254516"
"34627","5205"
"34843","79229"
"35990","79229"
"44781","79229"
"42562","79229"
"33819","40729"
"26654","1155"
"36061","16904"
"24942","46258"
"35089","2437"
"40173","7085"
"41574","16969"
"44221","64005"
"36316","3365"
"35562","17777"
"27974","4315"
"26068","11896"
"32487","27908"
"31398","27908"
"30973","27908"
"35757","27908"
"36908","27908"
"37153","27908"
"37512","27908"
"44878","27908"
"43312","27908"
"43386","27908"
"252237","1393"
"46442","30980"
"36926","28207"
"33873","28207"
"35900","106314"
"36835","106314"
"29910","106314"
"35841","7636"
"35831","7636"
"43785","61009"
"40012","118369"
"37504","109737"
"41921","107343"
"26057","1322"
"43782","11587"
"38989","586047"
"36395","586047"
"36653","586047"
"35759","586047"
"35857","586047"
"24190","586047"
"24199","586047"
"23422","586047"
"36978","3607"
"43799","6473"
"44638","10071"
"284641","4048"
"31892","5561"
"42055","48117"
"44510","1590"
"44095","1590"
"37513","86921"
"37544","86921"
"33935","65577"
"38646","1704"
"36800","123592"
"43663","123592"
"43088","123592"
"28563","123592"
"28711","8790"
"42039","27899"
"39992","10773"
"37502","10773"
"34467","257725"
"34608","7114"
"43783","2127"
"41822","36428"
"34011","394"
"25193","3697"
"32125","3697"
"31421","20211"
"151084","8603"
"35080","8603"
"44094","8603"
"37553","13236"
"31552","3521"
"34060","3357"
"34481","6747"
"44788","6747"
"24447","1438"
"42175","2877"
"28247","39925"
"24061","7003"
"28692","10065"
"1529241","30929"
"25123","14338"
"29262","14338"
"31358","14338"
"34421","14338"
"34024","1968"
"25761","1968"
"28780","100890"
"23510","100890"
"35014","100890"
"36156","100890"
"48974","100890"
"43835","100890"
"37917","11621"
"26707","24212"
"26963","33048"
"40045","11152"
"43794","357712"
"34031","25880"
"25180","25880"
"24949","25880"
"25151","25880"
"23414","803"
"27600","7042"
"39062","7042"
"102285","9447"
"36761","69715"
"28714","6421"
"28566","6421"
"34482","97255"
"178735","91422"
"31372","91422"
"31384","91422"
"31225","91422"
"26185","91422"
"38524","91422"
"38287","91422"
"43773","91422"
"43781","91422"
"559723","91422"
"48262","7963"
"25815","7963"
"31884","7963"
"38442","4735"
"34330","32461"
"34078","38032"
"41730","38032"
"25117","38032"
"33821","953"
"28199","5720"
"25136","19751"
"45232","19751"
"36911","2513"
"36940","4003"
"34391","4003"
"39295","4003"
"24236","4003"
"24248","4003"
"35427","4002"
"35838","4002"
"30591","472"
"30439","38904"
"36143","6369"
"33201","982"
"28349","9833"
"31420","72355"
"43916","4729"
"23703","1391"
"52191","3283"
"44098","11486"
"41707","11486"
"42048","11486"
"34835","11486"
"36902","11486"
"38513","11486"
"38230","63561"
"38254","63561"
"38092","63561"
"35572","63561"
"41846","63561"
"39659","63561"
