Id,Reputation
"3210247","884"
"3210992","9619"
"9112468","26809"
"9165940","730"
"9271979","10831"
"9282146","776"
"9282338","681"
"9282651","86"
"9284416","991"
"9294426","991"
"9300872","1594"
"9457553","1594"
"9652211","1594"
"9660237","1594"
"9961641","991"
"11441620","776"
"11473328","18415"
"11490546","975"
"11494042","325"
"11496079","776"
"11510458","730"
"11527890","730"
"11835128","1061"
"12623589","3435"
"12631619","730"
"13099405","15457"
"13106470","776"
"13165467","29"
"13235399","730"
"13467927","151"
"13579854","1615"
"13602231","1039"
"13621337","1039"
"14189088","455"
"14189667","102521"
"14198060","776"
"14372914","31911"
"14470214","1594"
"15044550","21866"
"15252526","2587"
"15309580","19824"
"15379656","31911"
"15593605","1594"
"15621897","7547"
"15856211","1490"
"15887393","7547"
"15995666","47092"
"15995785","47092"
"16120723","468"
"16161036","5927"
"16267760","22737"
"16317762","2593"
"16442881","47092"
"16515488","47092"
"16664952","47092"
"16727892","5927"
"16745203","47092"
"16745389","47092"
"16745952","47092"
"16747922","47092"
"16754883","468"
"16756324","47092"
"16806182","5927"
"16867693","47092"
"16879411","47092"
"16905236","468"
"16913481","47092"
"16953239","47092"
"17017482","1258"
"17071363","730"
"17092978","2174"
"17093092","2174"
"17111630","47092"
"17343094","47092"
"17493553","47092"
"17514618","661"
"17525238","7084"
"17529111","47092"
"17542638","1557"
"17614269","47092"
"17648695","47092"
"17689618","50011"
"17727298","1696"
"17729527","133"
"17734741","5800"
"17743615","1557"
"17888313","31"
"17888369","96"
"17889556","1061"
"17915835","50011"
"17923905","47092"
"18028901","50011"
"18058701","47092"
"18084719","3372"
"18096780","47092"
"18114674","11"
"18118618","57491"
"18144257","31"
"18160915","5800"
"18326498","86"
"18336904","50011"
"18387242","1258"
"18434161","50011"
"18480493","1557"
"18500244","5800"
"18674469","47092"
"18779533","57491"
"18835635","6603"
"18924314","57491"
"18971293","2593"
"19016289","1046"
"19016814","1046"
"19028778","3892"
"19052733","50011"
"19061862","50011"
"19214196","1680"
"19340923","47092"
"19402807","47092"
"19417390","11768"
"19421043","6406"
"19422798","6279"
"19423379","50011"
"19441470","47092"
"19451237","14174"
"19451822","8001"
"19508811","50011"
"19517364","3892"
"19584699","47092"
"20411456","119"
"20898469","1838"
"21394270","5456"
"22471170","288"
"23264043","816"
"24922237","521"
"25084642","4181"
"25248867","2664"
"25678349","2163"
"26212998","423"
"26263894","516"
"26286937","2456"
"26426264","3124"
"26520301","5181"
"26846297","4829"
"27920891","1234"
"27984550","2369"
"28136641","17059"
"28356205","856"
"30279122","94586"
"30959443","79"
"32290185","1772"
"33723601","913"
"34693494","1428"
"35712339","313"
"36374135","141"
"36376568","110"
"36879461","3975"
"37310507","5082"
"37580535","94586"
"40315380","778"
"40692288","8949"
"40953863","9247"
"41963850","5454"
"45651364","94586"
"47005688","18768"
"19528185","80203"
