Id,MinResponseTime
"47245300","37"
"47245225","8"
"47244498","15"
"47243285","3"
"47242796","85"
"47242391","10"
"47242320","169"
"47241303","86"
"47241132","103"
"47238297","26"
"47238161","10"
"47238142","479"
"47238083","83"
"47237373","325"
"47236992","42"
"47236905","104"
"47235813","15"
"47235110","219"
"47235042","757"
"47234947","36"
"47234740","22"
"47234660","294"
"47234141","134"
"47234026","3"
"47233607","18"
"47233171","103"
"47233069","1056"
"47231354","62"
"47231003","80"
"47229738","1332"
"47229662","3"
"47229080","128"
"47228985","18"
"47228918","33"
"47228723","19"
"47228280","251"
"47227192","60"
"47227160","4"
"47227155","11"
"47227079","20"
"47227064","903"
"47225987","7"
"47225675","3"
"47224261","56"
"47224211","51"
"47223183","50"
"47223161","5"
"47222833","25"
"47222771","35"
"47222250","369"
"47222194","305"
"47221968","2"
"47221050","19"
"47220269","388"
"47219959","15"
"47219471","5"
"47219443","88"
"47218751","13"
"47218189","12"
"47217824","1"
"47217755","33"
"47217466","15"
"47215946","5"
"47215364","412"
"47214789","6"
"47214595","29"
"47214248","87"
"47213978","103"
"47213538","37"
"47213498","28"
"47213270","10"
"47213250","4"
"47213227","34"
"47212149","38"
"47211971","13"
"47211849","36"
"47211565","6"
"47211255","6"
"47211243","3"
"47211037","3"
"47210002","47"
"47209458","7"
"47209374","7"
"47209003","14"
"47208581","54"
"47208554","20"
"47207853","4"
"47206778","50"
"47206380","1097"
"47205728","11"
"47205314","159"
"47204795","11"
"47203718","91"
"47203408","5"
"47203220","185"
"47202375","32"
"47201823","5"
"47201614","12"
"47200954","5"
"47200808","14"
"47200564","562"
"47200188","46"
"47200123","154"
"47199810","10"
"47199479","30"
"47199401","4"
"47199225","11"
"47198542","3"
"47197093","306"
"47196942","907"
"47196581","1703"
"47196270","16"
"47194255","1060"
"47193645","122"
"47192415","4"
"47191659","48"
"47191622","13"
"47191367","61"
"47191311","1044"
"47191189","345"
"47191003","5"
"47190954","43"
"47190851","28"
"47190501","1422"
"47190361","8"
"47190181","10"
"47189332","1"
"47189213","8"
"47188126","40"
"47187191","39"
"47186806","149"
"47186417","35"
"47185749","484"
"47185649","5"
"47185581","290"
"47184918","10"
"47184740","18"
"47184474","22"
"47184213","17"
"47184031","30"
"47183074","8"
"47182794","30"
"47182690","32"
"47182531","31"
"47182047","9"
"47181665","6"
"47181539","2606"
"47181493","33"
"47181308","2"
"47180940","7"
"47180891","49"
"47180632","26"
"47179370","980"
"47179199","9"
"47177369","147"
"47177347","19"
"47176906","7"
"47176846","67"
"47176674","13"
"47176648","24"
"47174619","10"
