Id,MinResponseTime
"47245458","12"
"47245196","28"
"47245158","9"
"47245000","44"
"47244989","31"
"47244890","14"
"47244698","11"
"47244455","50"
"47244309","88"
"47244227","7"
"47244141","3"
"47243955","200"
"47243890","11"
"47243584","13"
"47243553","146"
"47243456","148"
"47243243","20"
"47243182","50"
"47243157","8"
"47243150","14"
"47243130","21"
"47243079","85"
"47243007","72"
"47242665","109"
"47242033","7"
"47241821","290"
"47241718","48"
"47241580","23"
"47241543","129"
"47241288","88"
"47241052","13"
"47240790","11"
"47240775","19"
"47240754","2"
"47240563","99"
"47240517","29"
"47240492","139"
"47240487","40"
"47240437","1"
"47240369","25"
"47240100","90"
"47240087","141"
"47239930","5"
"47239657","3"
"47239434","731"
"47238938","2"
"47238868","7"
"47238607","42"
"47238403","9"
"47238305","8"
"47237996","21"
"47237769","2"
"47237363","211"
"47237310","97"
"47237279","280"
"47236871","7"
"47236727","22"
"47236336","129"
"47236170","8"
"47235288","26"
"47235221","71"
"47235207","5"
"47235135","4"
"47235116","45"
"47234983","15"
"47234970","3"
"47234786","535"
"47234712","11"
"47234688","65"
"47234640","4"
"47234434","217"
"47234384","7"
"47234245","5"
"47234121","9"
"47234058","566"
"47233766","924"
"47233758","50"
"47233673","1485"
"47233646","22"
"47233418","454"
"47233379","159"
"47233339","225"
"47233265","1585"
"47233224","213"
"47233120","401"
"47232994","4"
"47232954","562"
"47232448","7"
"47232319","18"
"47232241","12"
"47232166","1469"
"47232097","6"
"47231791","14"
"47231633","12"
"47231458","45"
"47231297","37"
"47231160","110"
"47231128","18"
"47231095","48"
"47230608","66"
"47230497","20"
"47230432","8"
"47230103","1145"
"47230050","17"
"47229612","3"
"47229468","1"
"47229429","15"
"47229343","38"
"47229194","21"
"47229185","2"
"47228669","5"
"47228599","50"
"47228248","11"
"47228113","77"
"47228076","14"
"47228046","38"
"47227764","84"
"47227626","123"
"47227298","40"
"47227067","148"
"47226916","20"
"47226444","4"
"47226401","14"
"47226251","9"
"47225518","127"
"47225426","126"
"47225301","25"
"47225294","4"
"47225256","15"
"47224978","404"
"47224964","60"
"47224576","47"
"47224469","166"
"47224138","36"
"47224083","4"
"47224031","12"
"47223990","18"
"47223699","17"
"47223651","4"
"47223163","3"
"47222888","134"
"47222795","1314"
"47222573","33"
"47222397","10"
"47222124","283"
"47222042","23"
"47221922","174"
"47220992","10"
"47220504","34"
"47220212","1478"
"47219978","4"
"47219913","4"
"47219316","25"
"47219263","161"
"47218994","185"
"47217185","12"
"47217049","207"
"47216823","6"
"47216720","21"
"47216434","60"
"47216183","55"
"47215995","6"
"47215626","2473"
"47215369","182"
"47215052","9"
"47215049","18"
"47214836","75"
"47214688","17"
"47214218","8"
"47213784","282"
"47213709","986"
"47213682","80"
"47213423","16"
"47213419","169"
"47212999","48"
"47212441","110"
"47211957","5"
"47211854","13"
"47211757","101"
"47211577","50"
"47211132","46"
"47210925","10"
"47210686","165"
"47209843","146"
"47209767","7"
"47209676","33"
"47209608","43"
"47208668","70"
"47208390","4"
"47208101","536"
"47207735","7"
"47207637","5"
"47207584","13"
"47207507","6"
"47207384","825"
"47207036","13"
"47206932","23"
"47206807","12"
"47206736","10"
"47206369","14"
"47206342","25"
"47206130","43"
"47206110","41"
"47205921","1980"
"47205882","18"
"47205375","5"
"47205364","35"
"47205348","75"
"47204654","1153"
"47204516","397"
"47204492","1450"
"47204050","17"
"47203770","1573"
"47203690","30"
"47203533","22"
"47203409","55"
"47203149","244"
"47202926","9"
"47202701","269"
"47202557","2"
"47202484","2155"
"47202353","127"
"47202236","53"
"47201916","24"
"47201349","38"
"47199810","10"
"47198201","19"
"47198053","47"
"47197871","5"
"47197330","17"
"47197035","2"
"47196942","907"
"47196885","25"
"47196776","239"
"47196767","14"
"47195883","46"
"47195826","3"
"47195381","31"
"47195222","6"
"47194856","129"
"47194754","78"
"47194602","81"
"47194230","49"
"47194229","47"
"47194012","16"
"47193851","20"
"47193322","4"
"47193293","86"
"47193011","446"
"47192663","5"
"47192521","14"
"47192467","218"
"47192333","66"
"47192257","71"
"47192024","3"
"47191907","681"
"47191895","166"
"47191606","394"
"47191204","377"
"47190834","33"
"47190637","45"
"47190588","3"
"47189759","19"
"47189591","10"
"47189277","19"
"47189198","109"
"47189161","74"
"47188610","775"
"47188582","6"
"47188551","228"
"47187773","19"
"47187604","22"
"47187392","26"
"47187371","122"
"47187310","15"
"47187077","3"
"47186771","10"
"47186682","1683"
"47186606","17"
"47186290","269"
"47186199","245"
"47186155","25"
"47186139","12"
"47185515","26"
"47185326","186"
"47185297","131"
"47185272","2332"
"47185165","5"
"47184986","81"
"47184505","34"
"47184465","7"
"47184441","2888"
"47182554","67"
"47182011","5"
"47181828","139"
"47181639","3"
"47181635","137"
"47181444","6"
"47180579","45"
"47180516","28"
"47179793","146"
"47179619","6"
"47179443","16"
"47179301","6"
"47179232","39"
"47178888","188"
"47178328","1"
"47177643","27"
"47177595","451"
"47177363","3"
"47175974","24"
"47175808","2"
"47175723","93"
"47175625","6"
"47175310","107"
"47175099","141"
"47174935","115"
"47174570","60"
"47174474","13"
"47173726","32"
"47173362","3"
"47173043","12"
"47172933","61"
"47172615","23"
"47172282","39"
"47172142","24"
"47171516","4"
"47171136","3"
"47171125","30"
"47171012","3072"
"47170241","12"
"47169730","240"
"47169665","154"
"47169402","33"
"47169355","103"
"47168903","465"
"47168449","92"
"47168239","194"
"47168171","71"
"47167993","24"
"47167816","7"
"47167175","23"
"47167009","180"
"47166693","16"
"47166001","105"
"47165820","84"
"47165737","11"
"47165684","181"
"47165525","224"
"47165292","43"
"47165163","11"
"47164887","3"
"47164695","4"
"47163846","2"
"47162766","28"
"47161749","3"
"47160644","28"
"47160377","50"
"47160328","48"
"47160295","696"
"47159717","12"
"47159642","15"
"47159342","8"
"47159265","113"
"47158617","25"
"47158514","539"
"47158211","3"
"47157714","30"
"47157696","29"
"47157608","221"
"47157378","109"
"47157257","986"
"47157000","10"
"47156066","7"
"47155716","5"
"47155694","869"
"47154336","1764"
"47154095","464"
"47154057","23"
"47153841","1"
"47153442","71"
"47152979","12"
"47152941","2"
"47152741","4"
"47152441","65"
"47151957","22"
"47151767","18"
"47151134","115"
"47151098","27"
"47150946","234"
"47150853","14"
"47150743","6"
"47150560","30"
"47150550","11"
"47150456","49"
"47150426","7"
"47150237","50"
"47150169","33"
"47149921","37"
"47149719","15"
"47149598","3"
"47149423","1263"
"47149310","35"
"47148918","295"
"47148687","25"
"47148682","14"
"47148667","161"
"47148660","12"
"47148492","7163"
"47148439","11"
"47148130","11"
"47147802","42"
"47147617","46"
"47147476","52"
