Id,MinResponseTime
"47245368","27"
"47245146","8"
"47245092","14"
"47244985","22"
"47244830","10"
"47244709","144"
"47244661","7"
"47244441","54"
"47244407","130"
"47244377","142"
"47244172","15"
"47243999","142"
"47243995","22"
"47243955","200"
"47243884","124"
"47243791","4"
"47243638","14"
"47243535","224"
"47243398","27"
"47243255","29"
"47243182","50"
"47243108","9"
"47243057","13"
"47242724","11"
"47242692","22"
"47242671","74"
"47242655","143"
"47242611","7"
"47242566","146"
"47242388","90"
"47242371","16"
"47242350","106"
"47242207","28"
"47242206","8"
"47242085","19"
"47241931","157"
"47241807","3"
"47241783","6"
"47241615","99"
"47241504","18"
"47241369","93"
"47240957","59"
"47240873","35"
"47240851","55"
"47240761","4"
"47240760","43"
"47240734","18"
"47240672","6"
"47240555","24"
"47240456","36"
"47240147","6"
"47240121","136"
"47239782","14"
"47239686","94"
"47239683","40"
"47239664","38"
"47239610","337"
"47239477","25"
"47239462","10"
"47239124","69"
"47238865","2"
"47238776","17"
"47238432","13"
"47238305","8"
"47238230","171"
"47238137","5"
"47237933","200"
"47237744","28"
"47237701","28"
"47237696","114"
"47237435","13"
"47237431","194"
"47237294","73"
"47236871","7"
"47236659","79"
"47236570","376"
"47236519","6"
"47236474","827"
"47236452","33"
"47236167","348"
"47236072","757"
"47236009","332"
"47236005","159"
"47235974","20"
"47235946","39"
"47235833","660"
"47235825","5"
"47235803","56"
"47235420","177"
"47235319","1134"
"47235305","164"
"47235231","6"
"47235080","6"
"47234932","6"
"47234833","5"
"47234784","12"
"47234727","9"
"47234616","9"
"47234609","11"
"47234574","103"
"47234471","15"
"47234456","62"
"47234084","41"
"47233952","24"
"47233941","3"
"47233935","231"
"47233923","52"
"47233883","107"
"47233590","652"
"47233495","45"
"47233347","1508"
"47233267","940"
"47233197","280"
"47232638","57"
"47232426","1616"
"47232384","52"
"47232340","313"
"47232234","110"
"47232220","237"
"47232197","5"
"47232122","8"
"47231945","7"
"47231899","1"
"47231792","6"
"47231664","9"
"47231608","5"
"47231197","10"
"47230977","310"
"47230960","40"
"47230809","15"
"47230714","36"
"47230544","1154"
"47230511","15"
"47230437","65"
"47230290","1"
"47230207","38"
"47229949","22"
"47229867","165"
"47229863","46"
"47229750","194"
"47229554","1695"
"47229469","22"
"47229343","38"
"47229200","182"
"47229176","12"
"47229104","138"
"47229068","20"
"47228929","978"
"47228863","34"
"47228809","11"
"47228626","20"
"47228302","2"
"47228204","852"
"47227977","139"
"47227944","10"
"47227684","84"
"47227622","1646"
"47227529","19"
"47227461","86"
"47226919","167"
"47226690","1346"
"47226294","50"
"47226240","124"
"47226092","26"
"47226029","8"
"47225704","7"
"47225507","16"
"47225392","78"
"47225267","978"
"47225229","229"
"47224978","404"
"47224918","17"
"47224895","19"
"47224725","34"
"47224652","18"
"47224642","1701"
"47224626","18"
"47224613","1648"
"47224445","68"
"47224297","181"
"47224083","4"
"47224022","399"
"47223996","11"
"47223922","12"
"47223913","13"
"47223889","13"
"47223791","133"
"47223543","807"
"47223398","94"
"47223334","21"
"47223320","125"
"47223239","30"
"47222731","464"
"47222615","172"
"47222315","46"
"47222179","472"
"47222065","26"
"47221272","10"
"47221149","44"
"47220900","23"
"47220581","6"
"47220367","129"
"47220082","7"
"47219978","4"
"47219863","24"
"47219860","157"
"47219816","3"
"47219806","11"
"47219533","4"
"47219483","41"
"47219381","7"
"47219276","712"
"47219115","188"
"47219020","242"
"47218843","5"
"47218840","13"
"47218495","188"
"47218311","11"
"47218161","695"
"47218087","2"
"47218053","6"
