Id,MinResponseTime
"47245387","8"
"47245348","23"
"47245346","5"
"47245272","33"
"47245239","28"
"47245238","7"
"47245216","9"
"47245164","31"
"47245137","52"
"47244877","1"
"47244850","28"
"47244705","21"
"47244511","11"
"47244481","218"
"47244480","68"
"47244364","92"
"47244333","78"
"47244310","23"
"47244309","88"
"47244241","6"
"47244239","4"
"47244230","9"
"47244180","9"
"47244105","9"
"47244031","9"
"47243957","20"
"47243865","36"
"47243801","16"
"47243761","269"
"47243752","187"
"47243732","8"
"47243693","15"
"47243673","20"
"47243649","101"
"47243551","12"
"47243525","7"
"47243517","17"
"47243430","75"
"47243407","6"
"47243377","61"
"47243375","144"
"47243338","40"
"47243314","28"
"47243289","48"
"47243247","20"
"47243228","22"
"47243223","3"
"47243187","11"
"47243175","323"
"47243153","15"
"47243149","233"
"47242897","69"
"47242762","13"
"47242667","21"
"47242648","15"
"47242635","34"
"47242592","118"
"47242343","2"
"47242283","71"
"47242276","47"
"47242236","25"
"47242232","4"
"47242228","71"
"47242220","29"
"47242203","6"
"47242150","108"
"47242116","17"
"47242103","110"
"47242072","36"
"47242067","13"
"47242059","118"
"47241982","10"
"47241893","136"
"47241795","12"
"47241793","46"
"47241772","18"
"47241758","139"
"47241665","18"
"47241599","40"
"47241386","28"
"47241372","9"
"47241157","30"
"47241046","118"
"47241023","10"
"47241013","40"
"47241002","6"
"47240974","3"
"47240803","15"
"47240791","4"
"47240788","22"
"47240785","251"
"47240725","15"
"47240720","38"
"47240704","259"
"47240628","8"
"47240606","10"
"47240604","9"
"47240548","14"
"47240525","6"
"47240471","75"
"47240467","11"
"47240438","88"
"47240426","47"
"47240418","689"
"47240326","45"
"47240322","6"
"47240290","27"
"47240252","235"
"47240116","38"
"47240026","507"
"47239963","40"
"47239858","10"
"47239820","16"
"47239758","35"
"47239725","7"
"47239718","5"
"47239617","4"
"47239598","344"
"47239582","5"
"47239571","65"
"47239546","14"
"47239486","4"
"47239481","46"
"47239399","81"
"47239349","251"
"47239312","5"
"47239299","13"
"47239285","3"
"47239276","14"
"47239240","10"
