Id,MinResponseTime
"47245443","4"
"47245384","9"
"47245271","14"
"47245230","22"
"47245205","21"
"47245167","29"
"47245151","7"
"47245136","17"
"47245076","54"
"47244977","9"
"47244938","43"
"47244936","31"
"47244828","89"
"47244819","8"
"47244621","103"
"47244601","50"
"47244580","21"
"47244575","43"
"47244517","15"
"47244503","173"
"47244491","58"
"47244463","35"
"47244447","36"
"47244446","132"
"47244437","93"
"47244427","66"
"47244410","18"
"47244296","30"
"47244264","52"
"47244233","9"
"47244203","12"
"47244192","133"
"47244187","150"
"47244066","19"
"47244044","10"
"47244043","58"
"47244000","16"
"47243972","38"
"47243954","45"
"47243912","9"
"47243834","179"
"47243830","2"
"47243683","3"
"47243654","10"
"47243570","27"
"47243556","289"
"47243537","129"
"47243516","20"
"47243504","13"
"47243480","41"
"47243469","100"
"47243459","7"
"47243414","55"
"47243390","12"
"47243374","14"
"47243358","8"
"47243284","40"
"47243237","53"
"47243227","30"
"47243209","18"
"47243162","29"
"47243154","23"
"47243139","9"
"47243101","15"
"47243040","208"
"47242992","419"
"47242947","34"
"47242865","18"
"47242861","150"
"47242847","144"
"47242788","28"
"47242739","6"
"47242713","10"
"47242691","6"
"47242663","4"
"47242480","16"
"47242448","2"
"47242329","178"
"47242313","109"
"47242296","82"
"47242265","79"
"47242162","54"
"47242147","144"
"47242100","10"
"47242075","188"
"47242048","2"
"47242022","10"
"47241978","31"
"47241762","38"
"47241679","16"
"47241662","11"
"47241648","124"
"47241644","63"
"47241592","133"
"47241522","160"
"47241508","171"
"47241235","9"
"47241187","7"
"47241161","17"
"47241130","25"
"47241072","35"
"47241044","16"
"47241028","548"
"47241012","4"
"47241006","57"
"47240976","12"
"47240975","44"
"47240959","196"
"47240804","9"
"47240650","39"
"47240634","45"
"47240618","44"
"47240608","8"
"47240588","29"
"47240446","17"
"47240441","18"
"47240433","341"
"47240410","13"
"47240386","96"
"47240377","8"
"47240358","5"
"47240346","49"
"47240331","29"
"47240315","17"
"47240294","14"
"47240271","2"
"47240201","11"
"47240067","48"
"47240048","13"
"47240039","15"
"47239964","5"
"47239870","4"
"47239854","63"
"47239830","162"
"47239827","5"
"47239812","373"
"47239742","384"
"47239698","3"
"47239693","14"
"47239670","12"
"47239629","13"
"47239624","19"
"47239568","60"
"47239554","67"
"47239525","28"
"47239433","41"
"47239432","18"
"47239427","25"
"47239419","5"
"47239272","36"
"47239258","664"
"47239257","48"
"47239164","13"
"47239029","299"
"47239003","6"
"47238873","47"
"47238803","7"
"47238784","14"
"47238732","2"
"47238729","12"
"47238671","41"
"47238655","12"
"47238598","104"
"47238596","28"
"47238574","6"
"47238515","81"
"47238463","6"
"47238460","148"
"47238444","20"
"47238356","20"
"47238350","4"
"47238340","12"
