Id,MinResponseTime
"47223668","336"
"47212094","714"
"47207133","153"
"47180583","18"
"47167562","7"
"47165962","4359"
"47163682","35"
"47143535","25"
"47128799","9"
"47120727","57"
"47112717","17"
"47098343","134"
"47097770","4258"
"47088682","10"
"47058397","10"
"47047319","513"
"47038208","20"
"47031519","9"
"47027348","9"
"47026495","10"
"47024457","40"
"47013235","11"
"47011343","235"
"47009433","34"
"47006499","845"
"47005737","382"
"46998893","32"
"46985668","405"
"46962067","827"
"46954123","29"
"46953215","9"
"46946065","1539"
"46942644","8"
"46938986","8"
"46936159","4"
"46924643","566"
"46919147","1346"
"46916099","28"
"46915224","961"
"46911669","481"
"46911556","1115"
"46902108","6"
"46901779","24"
"46883375","13"
"46882374","11"
"46881135","84"
"46879036","4253"
"46876796","12"
"46876375","109"
"46875443","117"
"46872686","35"
"46866025","95"
"46864738","114"
"46863423","5"
"46858617","40"
"46855926","6"
"46835169","27"
"46825105","22"
"46808100","1382"
"46800962","496"
"46799140","1382"
"46781999","8"
"46761808","47"
"46758683","484"
"46752640","132"
"46737849","2615"
"46725458","917"
"46717681","93"
"46676848","19"
"46671168","21"
"46655821","9"
"46655436","864"
"46651717","9"
"46650538","923"
"46630213","4"
"46624967","5"
"46624474","568"
"46615764","10"
"46610791","134"
"46601806","44"
"46593896","25"
"46585944","22"
"46576305","11"
"46575698","6"
"46566761","177"
"46562400","1187"
"46552340","97"
"46547450","2656"
"46545854","17"
"46540208","94"
"46536628","2107"
"46535338","8"
"46532823","4059"
"46518397","461"
"46513901","12"
"46506074","43"
"46505938","3623"
"46505033","83"
"46493976","810"
"46489249","19"
"46485117","27"
"46474649","0"
"46437599","13"
"46426023","66"
"46425508","36"
"46416757","418"
"46406014","0"
"46397963","165"
"46395444","28"
"46394484","41"
"46394245","34"
"46386200","74"
"46383583","759"
"46371071","211"
"46370362","793"
"46352601","954"
"46346302","1182"
"46333966","17"
"46324249","105"
"46322244","96"
"46313584","574"
"46311808","228"
"46310890","2968"
"46308092","8"
"46296015","1838"
"46292908","6"
"46290507","418"
"46289443","6"
"46284727","35"
"46276845","245"
"46274621","1780"
"46267566","12"
"46259180","1187"
"46247931","1146"
"46242176","101"
"46219422","52"
"46209833","343"
"46193513","1215"
"46185601","2470"
"46174198","2711"
"46122105","1277"
"46121765","8814"
"46121546","5706"
"46112520","32"
"46108548","490"
"46080978","1112"
"46065219","15"
"46045458","2512"
"46044323","1194"
"46043744","899"
"46043522","9"
"46028508","2332"
"46023874","46"
"46019759","2046"
"46019547","145"
"46005684","25"
"45998870","323"
"45914171","314"
"45900407","317"
"45899972","153"
"45894947","7226"
"45893250","4820"
"45875263","36"
"45815583","73"
"45783166","2645"
"45781919","16"
"45778077","32"
"45743299","671"
"45720140","192"
"45699811","21"
"45691507","24"
"45689413","1965"
"45672922","10442"
"45647460","30"
"45639538","433"
"45598281","39"
"45580319","707"
"45578180","5"
"45576089","142"
"45572253","8592"
"45557979","8"
"45536452","49"
"45533277","200"
"45533086","27"
"45523781","109"
"45508005","161"
"45491646","0"
"45487817","417"
"45479510","851"
"45438431","7"
"45429263","228"
"45410349","1845"
"45371790","52"
"45362323","69"
"45338950","122"
"45336398","9"
"45323562","71"
"45307184","72"
"45253719","3163"
"45245309","12"
"45242865","295"
"45228064","64"
"45222687","857"
"45217035","10"
"45177355","662"
"45176070","8"
"45160445","386"
"45153108","41"
"45149012","103"
"45148780","137"
"45144754","12"
"45107104","241"
"45105049","55"
"45088563","238"
"45087545","20"
"45066132","87"
"45054617","232"
"45045359","882"
"45045047","27"
"45032844","68"
"45029549","19"
"45024211","2253"
"45004019","467"
"44970384","28"
"44906193","4439"
"44905337","245"
"44900965","1330"
"44884526","97"
"44842558","24806"
"44780511","70"
"44742937","19"
"44726705","212"
"44712853","25"
"44666981","499"
"44665085","23"
"44657319","14"
"44636557","18"
"44614783","349"
"44610884","27"
"44610023","18"
"44598718","43"
"44584204","337"
"44574909","7060"
"44555410","204"
"44528425","30"
"44494200","4193"
"44470095","36"
"44450375","136"
"44424156","64"
"44423617","25"
"44404418","127"
"44400336","18"
"44399525","33"
"44395695","306"
"44377367","23"
"44373603","18"
"44367761","104"
"44363893","1478"
"44353240","312"
"44352011","2048"
"44337071","5354"
"44314837","21"
"44276970","70"
"44256367","50"
"44217406","30"
"44216763","4768"
"44201866","217154"
"44200482","144"
"44186590","42"
"44182628","235"
"44144555","11"
"44119767","376"
"44095034","41"
"44067361","120"
"44060069","263"
"44049185","43"
"44039514","488"
"44030871","6"
"44008058","28"
"43999762","45"
"43998905","23"
"43989931","598"
"43982112","8092"
"43979892","10"
"43963203","17987"
"43960985","19"
"43954687","1108"
"43954488","189"
"43954225","16"
"43953798","11"
"43948016","297"
"43918511","1326"
"43882340","52"
"43848691","4658"
"43840532","29"
"43837791","7"
"43826550","0"
"43819170","2802"
"43771603","22"
"43760646","22"
"43760194","647"
"43749494","472"
"43741629","10"
"43737487","29"
"43735889","122"
"43723262","10"
"43721446","1127"
"43713654","235"
"43706895","213"
"43705255","172"
"43703295","279329"
"43696861","3887"
"43666779","8"
"43663195","1264"
"43649923","304"
"43615188","34"
"43601285","514"
"43591860","18"
"43585694","55"
"43582534","455"
"43562933","1984"
"43562553","659"
"43554262","3285"
"43552449","488"
"43549170","15"
"43547084","11"
"43546314","9"
"43522584","17"
"43506270","1306"
"43502784","176"
"43486298","9"
"43474446","31582"
"43463526","90350"
"43461007","26"
"43452974","27"
"43445502","7277"
"43439492","1126"
"43426709","1151"
"43415970","15"
"43412043","122638"
"43400667","139"
"43398605","91"
"43397246","794"
"43362780","24"
"43346715","338"
"43316850","331"
"43308099","2167"
"43307623","69"
"43304334","48"
"43284433","19"
"43277113","20"
"43267452","16"
"43245965","13"
"43221830","14076"
"43169972","43"
"43167636","170"
"43162427","449"
"43153917","914"
"43131043","84"
"43113068","1456"
"43098163","5"
"43089166","133693"
"43063713","3070"
"43047639","1551"
"43034004","462"
"43033932","14"
"43021341","23"
"43017709","29"
"43016201","5"
"43015974","33"
"43012839","809"
"43010683","323"
"43008960","16"
"43005259","4"
"42976380","55"
"42953329","93"
"42939629","681"
"42932800","55"
"42911674","700"
"42911623","1374"
"42908273","62"
"42903424","101"
"42893795","47"
"42893124","22"
"42886515","265"
"42878724","1512"
"42878569","70"
"42878466","27"
"42872092","507"
"42856526","1869"
"42854631","311"
"42848758","19"
"42836214","29492"
"42816588","48"
"42790094","33"
"42769191","30"
"42757043","11"
"42751339","22"
"42742539","1505"
"42741065","14183"
"42737075","142"
"42731519","9"
"42727774","287"
"42712760","21"
"42710970","183"
"42694523","10"
"42690713","29"
"42685864","1449"
"42680971","1207"
"42662368","14"
"42661520","28"
"42658772","20"
"42656356","4498"
"42655800","5"
"42655339","21"
"42654555","11"
"42633615","10"
"42631912","89"
"42626943","273391"
"42612210","14"
"42606382","52"
"42605486","25"
"42555495","116"
"42513872","744"
"42500517","39"
"42499388","4299"
"42486650","44559"
"42477560","233"
"42460103","4373"
"42451423","776"
"42446557","12"
"42443143","498"
"42426394","1575"
"42424269","42"
"42422661","704"
"42420298","12"
"42404134","2554"
"42395707","8"
"42382158","554"
"42377013","1242"
"42367961","534"
"42358796","358"
"42357953","89"
"42351018","62"
"42336582","3896"
"42332778","91"
"42331772","1303"
"42320341","12"
"42318879","67"
"42317638","67"
"42309522","99"
"42289676","229"
"42261987","620"
"42239914","30"
"42231886","1242"
"42201312","28"
"42196995","595"
"42193103","62"
"42180787","801"
"42177832","4"
"42165958","83"
"42149525","830"
"42143854","34"
"42137436","14"
"42127738","4118"
"42127372","653"
"42125336","26"
"42123651","1281"
"42118331","6"
"42110714","501"
"42107172","721"
"42105636","9"
"42101726","578"
"42094076","141"
"42074499","18"
"42071406","8"
"42057209","25"
"42053699","240"
"42049798","1748"
"42031070","8263"
"42030527","19"
"42015413","367"
"42003463","344"
"41986723","28"
"41938447","179"
"41930307","764"
"41927605","227"
"41912656","4"
"41901071","1008"
"41886543","51"
"41866603","312"
"41864377","1170"
"41835812","11"
"41830467","182"
"41825814","53"
"41814345","65"
"41813740","15"
"41797085","8302"
"41793263","1098"
"41789362","11"
"41786688","26"
"41785038","14"
"41781764","1781"
"41780982","318"
"41767888","43"
"41766655","21"
"41759705","154"
"41757151","235"
"41739872","215"
"41729955","489"
