Id,MinResponseTime
"47245437","13"
"47245409","20"
"47245402","10"
"47245284","15"
"47245276","6"
"47245169","8"
"47245157","9"
"47245156","14"
"47245154","9"
"47245102","22"
"47245057","30"
"47245039","10"
"47245019","4"
"47244975","75"
"47244944","79"
"47244934","8"
"47244926","20"
"47244885","6"
"47244851","31"
"47244780","100"
"47244761","7"
"47244754","50"
"47244748","106"
"47244706","45"
"47244702","45"
"47244667","2"
"47244596","19"
"47244539","18"
"47244494","141"
"47244474","67"
"47244376","20"
"47244358","15"
"47244350","53"
"47244322","11"
"47244314","24"
"47244294","100"
"47244281","14"
"47244198","20"
"47244136","19"
"47244106","35"
"47244073","31"
"47244021","163"
"47243979","11"
"47243887","3"
"47243861","19"
"47243858","308"
"47243812","29"
"47243737","2"
"47243677","81"
"47243609","45"
"47243598","33"
"47243585","10"
"47243575","9"
"47243530","7"
"47243498","16"
"47243490","20"
"47243483","69"
"47243451","122"
"47243404","9"
"47243397","37"
"47243334","11"
"47243287","14"
"47243244","96"
"47243240","99"
"47243205","12"
"47243202","27"
"47243190","138"
"47243065","6"
"47243021","6"
"47242986","9"
"47242928","14"
"47242918","76"
"47242900","9"
"47242845","6"
"47242819","287"
"47242677","246"
"47242637","3"
"47242570","40"
"47242512","60"
"47242475","3"
"47242429","26"
"47242330","370"
"47242247","30"
"47242180","57"
"47242160","10"
"47242038","46"
"47242014","13"
"47241954","40"
"47241949","2"
"47241943","42"
"47241889","21"
"47241845","14"
"47241751","17"
"47241743","117"
"47241709","35"
"47241677","17"
"47241675","562"
"47241641","18"
"47241636","7"
"47241632","2"
"47241623","37"
"47241571","10"
"47241549","8"
"47241448","55"
"47241414","15"
"47241408","9"
"47241392","5"
"47241348","27"
"47241346","105"
"47241330","43"
"47241229","19"
"47241163","66"
"47241153","7"
"47241141","25"
"47241035","178"
"47240957","59"
"47240916","22"
"47240859","4"
"47240854","5"
"47240809","159"
"47240784","29"
"47240766","318"
"47240764","4"
"47240763","6"
"47240745","13"
"47240742","153"
"47240738","11"
"47240737","2"
"47240671","15"
"47240661","3"
"47240638","260"
"47240626","8"
"47240552","367"
"47240509","10"
"47240476","66"
"47240425","15"
"47240349","84"
"47240308","73"
"47240282","7"
"47240269","2"
"47240208","91"
"47240199","17"
"47240184","573"
"47240172","118"
"47240146","6"
"47240087","141"
"47240047","243"
"47239950","20"
"47239874","35"
"47239795","2"
"47239716","112"
"47239714","128"
"47239532","16"
"47239510","407"
