Id,MinResponseTime
"47242768","9"
"47239301","14"
"47237733","325"
"47237256","14"
"47232601","967"
"47230890","38"
"47227956","15"
"47225805","20"
"47217869","4"
"47217283","231"
"47204707","15"
"47193584","785"
"47182804","57"
"47179667","20"
"47178016","8"
"47170936","1091"
"47170186","47"
"47161109","170"
"47159418","45"
"47156009","7"
"47151474","61"
"47147844","824"
"47146114","81"
"47133648","11"
"47132141","23"
"47130689","746"
"47130574","75"
"47121985","578"
"47120299","34"
"47119144","353"
"47118569","975"
"47117797","44"
"47107366","91"
"47106978","147"
"47103771","213"
"47097990","15"
"47092072","28"
"47084908","288"
"47081304","6"
"47077925","122"
"47077709","27"
"47075469","24"
"47074919","23"
"47070876","6262"
"47060266","16"
"47057700","70"
"47054316","19"
"47051923","203"
"47049658","294"
"47048037","354"
"47044453","10"
"47043167","176"
"47037573","19"
"47031308","13"
"47028390","8"
"47025694","8"
"47018493","49"
"47016911","19"
"47001895","2616"
"46997109","2388"
"46995458","0"
"46994934","626"
"46993079","716"
"46985349","838"
"46982715","21"
"46981148","25"
"46970966","63"
"46969733","11"
"46965867","79"
"46958593","246"
"46955206","10881"
"46943672","3876"
"46941218","22"
"46935663","2860"
"46933511","558"
"46931981","6"
"46929741","115"
"46929493","649"
"46928854","9"
"46926435","29"
"46920824","218"
"46920668","28"
"46917486","81"
"46907960","124"
"46906220","13"
"46905070","177"
"46903786","403"
"46902648","14"
"46901760","4777"
"46900537","46"
"46900257","2708"
"46900063","2067"
"46897340","103"
"46895380","365"
"46885529","4639"
"46885292","10"
"46883242","9"
"46876879","249"
"46873877","77"
"46871542","319"
"46867652","36"
"46867355","32"
"46866543","38"
"46864301","102"
"46860928","658"
"46857955","50"
"46854574","47"
"46852367","9"
"46851258","15790"
"46849379","306"
"46844611","314"
"46836933","2671"
"46833271","182"
"46830491","4674"
"46829539","5"
"46816614","74"
"46805540","1600"
"46793494","10"
"46786956","11"
"46780074","95"
"46779914","516"
"46779310","20"
"46778636","1671"
"46777457","27"
"46775732","933"
"46771810","50"
"46766560","62"
"46760026","703"
"46756046","1259"
"46753955","173"
"46751435","599"
"46749679","16"
"46749360","7"
"46745138","23"
"46743353","246"
"46742125","386"
"46739842","2"
"46737593","18"
"46731018","9"
"46714279","3"
"46711357","8"
"46697088","26"
"46689785","5"
"46688929","12"
"46683073","20"
"46680064","13"
"46667593","2"
"46667531","8"
"46657901","141"
"46654790","0"
"46653488","80"
"46651354","26"
"46649992","11"
"46632474","13"
"46629769","235"
"46625376","24"
"46624591","178"
"46620790","542"
"46615275","75"
"46612327","122"
"46606559","64"
"46602853","24"
"46601201","40"
"46597528","273"
"46596461","89"
"46585332","30"
"46582039","144"
"46580535","321"
"46578050","18"
"46569399","789"
"46568656","5600"
"46566648","42"
"46562030","165"
"46559186","76"
"46557608","11"
"46549011","57"
"46546321","40"
"46544516","21"
"46539826","274"
"46537490","1155"
"46534725","110"
"46532460","3"
"46529282","103"
"46524781","398"
"46520870","22"
"46518205","347"
"46516312","35"
"46514290","126"
"46512227","224"
"46511792","181"
"46509583","303"
"46502627","164"
"46500747","19"
"46495063","4216"
"46492188","22"
"46491927","4"
"46491293","1851"
"46490245","7"
"46486134","68"
"46479952","107"
"46477141","25"
"46473666","40"
"46472082","15"
"46471631","62"
"46469334","22"
"46455009","282"
"46436434","145"
"46434688","26"
"46416960","410"
"46407560","12"
"46397847","2044"
"46396796","5058"
"46393890","16"
"46388977","37"
"46388386","116"
"46378637","127"
"46377392","8982"
"46373028","32"
"46368098","11"
"46363360","164"
"46355457","749"
"46344803","57693"
"46344602","141"
"46342644","26"
"46333242","5"
"46331278","41"
"46327184","4271"
"46322270","95"
"46320374","12"
"46314582","17"
"46297867","149"
"46290689","9"
"46290655","9"
"46288670","12"
"46287818","23"
"46287442","13"
"46286899","44"
"46282330","3"
"46267643","1526"
"46266400","39"
"46260187","18"
"46258900","1190"
"46255634","18"
"46253306","149"
"46245174","10"
"46235975","376"
"46231159","215"
"46230328","351"
"46226982","545"
"46222284","486"
"46221869","1262"
"46217914","67"
"46213803","31"
"46202681","501"
"46200088","52"
"46194930","170"
"46185922","23"
"46185453","133"
"46167642","542"
"46166311","64"
"46160524","8173"
"46157422","15"
"46143335","218"
"46136890","1772"
"46136169","50"
"46135656","13"
"46135457","1244"
"46134477","36"
"46131051","1080"
"46129249","120"
"46128041","323"
"46126772","345"
"46106993","79"
"46102811","16"
"46084968","10"
"46084797","100"
"46082874","13"
"46081831","21"
"46079916","25"
"46074324","64"
"46065487","943"
"46065104","126"
"46061641","90"
"46061570","212"
"46048995","100"
"46045298","87"
"46039441","12"
"46036038","166"
"46033562","9"
"46028917","1493"
"46027903","40"
"46027701","320"
"46021547","3"
"46020608","36"
"46018866","465"
"46017779","23"
"46017492","106"
"46015933","78"
"46011459","235"
"46007782","50"
"46004643","97"
"46003212","31"
"46002861","56"
"46000441","361"
"45996828","20"
"45996219","9"
"45991698","112"
"45985827","14"
"45972772","572"
"45968885","7"
"45967902","76"
"45954354","82514"
"45946413","628"
"45944235","16"
"45944145","33"
"45940385","7"
"45936220","1388"
"45935100","24"
"45931131","584"
"45918104","386"
"45917378","61"
"45916094","11"
"45904760","142"
"45903158","207"
"45902734","377"
"45901393","833"
"45899965","1027"
"45899815","859"
"45899182","467"
"45894401","193"
"45892973","35"
"45892717","37"
"45892476","10"
"45883045","2"
"45882329","10"
"45880481","86"
"45877098","23"
"45875142","8"
"45873736","315"
"45873160","26"
"45864495","29"
"45860077","61"
"45858859","268"
"45854134","301"
"45851561","436"
"45847522","9"
"45847338","4"
"45837189","7"
"45837114","74"
"45833618","21"
"45831980","3"
"45822612","35"
"45822602","16"
"45807869","286"
"45806359","1224"
"45803990","874"
"45803779","8"
"45796365","473"
"45788866","5759"
"45788808","75"
"45788242","51"
"45787322","799"
"45787053","704"
"45786955","660"
"45786768","108"
"45786717","21651"
"45786024","23"
"45783315","61"
"45782069","19"
"45778608","51"
"45773626","121"
"45773442","117"
"45769508","138"
"45765134","10"
"45764578","38"
"45761364","788"
"45761106","9"
"45759964","12"
"45756582","20"
"45753923","102"
"45753667","52"
"45745415","39"
"45742446","81"
"45731090","192"
"45729978","27"
"45725975","895"
"45724517","36"
"45719079","924"
"45713444","25"
"45713314","1665"
"45712156","11861"
"45711295","22"
"45708909","8"
"45702112","105"
"45690958","44"
"45690562","149"
"45684038","665"
"45681531","1004"
"45680349","34"
"45676411","20"
"45675506","12"
"45674479","25"
"45673552","69"
"45668153","44"
"45665121","81"
"45664456","25"
"45664392","40"
"45661186","5"
"45649927","21"
"45637192","8"
"45635783","37"
"45634972","132"
"45634083","0"
"45633269","171"
"45632812","11"
"45630057","7550"
"45624813","8"
"45624020","43"
"45623879","28"
"45621834","17"
"45620072","11"
"45618552","41"
"45616627","906"
"45608392","16"
"45605054","37"
"45597871","7677"
"45593026","0"
"45586159","0"
"45583246","8770"
"45581398","269"
"45581356","57"
"45580658","8"
"45577809","30"
"45563133","0"
"45562164","178"
"45553304","16"
"45550387","19"
"45547293","17"
"45539971","47"
"45535820","8"
"45534606","21"
"45534394","25"
"45533699","14"
"45530536","1186"
"45530445","117"
"45527720","83"
"45525533","26"
"45522745","10"
"45521530","189"
"45520954","222"
"45519176","123"
"45517514","22"
"45517265","54"
"45517170","176"
"45515579","13"
"45514870","60"
"45505607","47"
"45501780","3586"
"45500412","77"
"45482957","112"
"45481524","185"
"45479799","273"
"45478505","13"
"45473656","19"
"45473626","13"
"45473612","6"
"45473260","171"
"45468755","60"
"45465875","64"
"45461499","12"
"45455275","79"
"45449525","434"
"45446237","28"
"45444637","20"
"45443409","12"
"45442609","15"
"45434546","85"
"45424754","6"
"45417809","1244"
"45398971","17"
"45398756","94"
"45397876","1609"
"45397316","114"
"45392688","43"
"45391874","28"
"45386585","176"
"45384928","726"
"45378744","11"
"45373573","19"
"45371062","15"
"45362132","22"
"45360245","16"
"45356898","24"
"45353757","6"
"45344110","21"
"45343345","498"
"45343320","134"
"45339659","183"
"45330614","25"
"45330410","73"
"45329011","10"
"45326178","195"
"45319021","8"
"45315521","95"
"45314187","657"
"45313433","772"
"45313119","77"
"45312045","1053"
"45311896","12"
"45311647","23"
"45309789","42"
"45309240","59"
"45308963","3031"
"45306575","24"
"45306527","15"
"45304541","5"
"45297318","11"
"45292104","636"
"45291832","31"
"45289078","72"
"45287134","1510"
"45284132","21"
"45282970","10"
"45281538","259"
"45280718","10"
"45275362","69"
"45273361","96"
"45269206","159588"
"45264588","11"
"45256504","66087"
"45256034","24"
"45255478","49"
"45254863","11"
"45253784","8"
"45249860","457"
"45249716","200"
"45249486","519"
"45248078","9636"
"45244645","559"
"45244559","121"
"45237680","14"
"45237658","38"
"45235758","254"
"45234980","11"
"45232943","5"
"45232838","540"
"45229167","31"
"45227519","367"
"45224563","6"
"45222910","10"
"45222791","124"
"45222482","1152"
"45221232","46"
"45220448","12"
"45197826","8"
"45195454","22"
"45194762","31"
"45194220","12"
"45179539","758"
"45177131","38"
"45176403","6"
"45174458","8"
"45165193","12"
"45163024","1"
"45159914","308"
"45159414","47"
"45151770","150814"
"45145887","16"
"45142694","10"
"45135949","197"
"45132283","173"
"45126120","292"
"45122446","265"
"45120080","12"
"45118060","1496"
"45116984","159"
"45115433","615"
"45114172","41"
"45112589","23"
"45111783","4073"
"45111087","23"
"45110443","20"
"45108086","35"
"45107820","18"
"45095523","480"
"45092638","44"
"45090958","32"
"45086595","22"
"45081768","33"
"45070022","7"
"45065518","1109"
"45061755","1096"
"45059538","26"
"45055117","12"
"45053810","12"
"45053381","10194"
"45049287","54"
"45046648","25"
"45045397","14"
"45043728","15"
"45037547","1415"
"45036679","5"
"45033804","114"
"45033782","65"
"45033704","16"
"45019559","789"
"45017183","4"
"45012233","5220"
"45003170","94"
"45002722","1028"
"45000679","197"
"44995851","47"
"44993342","0"
"44990058","376"
"44987555","10"
"44987079","10"
"44985651","150"
"44980895","1328"
"44974215","16"
"44974034","6924"
"44971963","8"
"44958432","4"
"44955300","44"
"44953197","36"
"44947920","14"
"44947914","226"
"44947640","251"
"44946535","12"
"44942644","5"
"44936758","12899"
"44930257","15"
"44929300","30"
"44928882","19"
"44926032","9"
"44925175","15"
"44923306","40"
"44916445","788"
"44913851","0"
"44912349","155500"
"44912189","47"
"44910395","340"
"44909967","13"
"44908586","96"
"44904677","162"
"44904214","20"
"44903609","10"
"44900810","230"
"44899992","22"
"44895392","82"
"44889698","37"
"44889689","11"
"44888196","4"
"44887271","55"
"44876934","930"
"44876113","862"
"44874529","57"
"44873967","55"
"44873527","22"
"44872584","72"
"44868443","168"
"44866571","769"
"44866366","1452"
"44866162","13"
"44865842","1985"
