Id,UpVotes,DownVotes
"47245259","1","0"
"47245251","1","0"
"47243322","3","0"
"47242983","1","0"
"47242109","1","0"
"47242099","4","0"
"47241957","1","0"
"47241457","0","1"
"47241276","0","2"
"47241247","0","1"
"47240403","1","0"
"47238538","3","0"
"47238253","2","0"
"47238233","4","0"
"47236759","1","0"
"47235912","2","0"
"47235681","1","0"
"47235200","1","0"
"47235185","2","0"
"47235149","2","0"
"47234882","3","0"
"47234821","1","0"
"47233732","1","0"
"47233704","1","0"
"47233660","1","0"
"47233333","3","0"
"47232102","5","0"
"47231984","1","0"
"47231597","1","0"
"47231568","2","0"
"47230951","1","0"
"47229898","1","0"
"47229707","2","0"
"47229393","1","0"
"47229197","1","0"
"47229020","2","0"
"47228684","1","0"
"47228161","1","0"
"47227712","1","0"
"47227361","1","0"
"47227322","3","0"
"47227264","1","0"
"47227242","1","0"
"47226061","2","0"
"47225742","2","0"
"47225706","3","0"
"47225303","1","0"
"47225144","1","0"
"47224097","1","0"
"47223236","2","0"
"47223022","1","0"
"47222549","1","0"
"47222454","2","0"
"47222003","2","0"
"47221433","3","0"
"47221135","2","0"
"47219550","1","0"
"47218980","5","0"
"47217852","2","0"
"47217686","2","0"
"47216005","3","0"
"47215914","3","0"
"47214868","2","0"
"47214798","1","0"
"47214710","2","0"
"47214702","1","1"
"47213863","2","0"
"47213862","1","0"
"47213759","3","0"
"47213575","0","1"
"47213429","1","0"
"47213284","1","0"
"47213274","3","1"
"47212867","1","0"
"47212660","2","0"
"47212364","1","0"
"47212265","0","2"
"47211654","2","0"
"47211351","1","0"
"47211265","3","0"
"47211099","2","0"
"47210741","1","0"
"47210124","1","0"
"47210090","1","0"
"47209565","1","0"
"47209494","1","0"
"47209455","1","0"
"47209161","1","0"
"47208903","1","0"
"47208614","1","0"
"47207944","5","0"
"47207784","1","0"
"47207720","1","0"
"47205969","3","0"
"47205032","1","0"
"47203624","1","0"
"47203513","2","0"
"47203247","0","1"
"47201929","2","0"
"47201848","3","0"
"47201731","3","0"
"47201090","1","0"
"47201058","0","1"
"47200572","2","0"
"47200090","1","0"
"47200014","3","0"
"47199949","2","1"
"47199555","1","0"
"47199501","2","0"
"47199474","1","0"
"47198627","2","0"
"47197326","2","0"
"47197134","2","0"
"47196522","1","0"
"47196364","2","0"
"47196336","0","1"
"47194837","1","0"
"47193545","1","0"
"47192443","1","0"
"47192365","1","0"
"47191938","1","0"
"47191740","2","0"
"47191588","1","0"
"47191442","1","1"
"47191368","1","1"
"47191271","0","3"
"47191180","1","0"
"47191172","1","0"
"47191076","3","0"
"47191058","2","0"
"47190455","3","1"
"47190304","2","0"
"47189369","3","0"
