Id,UpVotes,DownVotes
"47245200","1","1"
"47245147","2","0"
"47245135","1","0"
"47245008","3","0"
"47245006","4","1"
"47245003","5","0"
"47244957","1","0"
"47244912","2","0"
"47244660","2","0"
"47244428","1","0"
"47244258","4","0"
"47244157","3","0"
"47244138","4","0"
"47243960","1","0"
"47243645","1","0"
"47243406","1","0"
"47243295","1","0"
"47243281","1","0"
"47243251","1","1"
"47243213","1","0"
"47243207","1","0"
"47243010","1","0"
"47242424","0","1"
"47242106","1","0"
"47242089","1","0"
"47241868","1","0"
"47241810","2","0"
"47241546","2","0"
"47240986","0","1"
"47240973","1","0"
"47240771","1","0"
"47240732","0","1"
"47240539","3","0"
"47240443","2","0"
"47240409","2","0"
"47240332","0","1"
"47239844","1","0"
"47239696","1","0"
"47239548","1","0"
"47239235","1","0"
"47239008","1","0"
"47238959","1","0"
"47238944","1","0"
"47238723","1","0"
"47238372","1","0"
"47237782","2","0"
"47237424","1","0"
"47237012","4","0"
"47236920","5","0"
"47236587","1","0"
"47236246","3","0"
"47235756","1","0"
"47235752","2","0"
"47235450","2","0"
"47235416","2","0"
"47235354","1","0"
"47235353","0","2"
"47235317","2","0"
"47235168","3","0"
"47235069","1","0"
"47234981","4","0"
"47234769","2","0"
"47234760","0","1"
"47234731","2","0"
"47234662","3","0"
"47234404","1","0"
"47234399","1","0"
"47234278","3","0"
"47233867","2","0"
"47233772","4","0"
"47233745","2","1"
"47233724","2","0"
"47233272","1","0"
"47233147","2","0"
"47233090","1","0"
"47233057","1","0"
"47233019","1","0"
"47233018","2","0"
"47232488","2","1"
"47232475","5","0"
"47232410","1","1"
"47232148","6","0"
"47232115","5","0"
"47232004","1","0"
"47231958","6","0"
"47231884","2","0"
"47231835","1","0"
"47231782","1","0"
"47231744","1","0"
"47231675","1","0"
"47231571","2","0"
"47231531","1","0"
"47231391","1","0"
"47231335","2","0"
"47231189","1","0"
"47231145","2","1"
"47230900","1","0"
"47230721","4","0"
"47230247","5","0"
"47230239","5","0"
"47230088","2","0"
"47230016","1","0"
"47229882","6","0"
"47229661","4","0"
