Id,UpVotes,DownVotes
"47245179","4","1"
"47245170","2","0"
"47245153","1","0"
"47245110","1","1"
"47245033","0","1"
"47245003","5","0"
"47244697","3","1"
"47244687","1","0"
"47244635","3","0"
"47244585","1","0"
"47244527","2","0"
"47244252","2","1"
"47244138","4","0"
"47243821","2","0"
"47243746","2","0"
"47243509","2","0"
"47243429","5","0"
"47243222","1","0"
"47243183","3","0"
"47243164","2","0"
"47243133","3","0"
"47243132","7","0"
"47243129","0","1"
"47242957","1","0"
"47242868","2","0"
"47242825","2","0"
"47242817","0","2"
"47242711","1","1"
"47242664","3","0"
"47242595","1","1"
"47242511","1","0"
"47242450","1","0"
"47242268","4","0"
"47242250","1","0"
"47241854","1","0"
"47241844","1","0"
"47241832","4","0"
"47241547","3","0"
"47240871","1","0"
"47240830","1","0"
"47240800","1","0"
"47240732","0","1"
"47240730","1","0"
"47240683","1","0"
"47240203","4","0"
"47240145","2","1"
"47240091","0","2"
"47239965","1","0"
"47239914","2","0"
"47239853","4","0"
"47239832","3","0"
"47239759","1","0"
"47239707","1","0"
"47239632","4","0"
"47239550","2","0"
"47238933","3","0"
"47238877","3","0"
"47238836","2","0"
"47238801","1","0"
"47238698","2","0"
"47238567","1","0"
"47238559","1","0"
"47238372","1","0"
"47238184","4","0"
"47238009","10","0"
"47238007","5","0"
"47237977","5","0"
"47237887","1","0"
"47237542","1","0"
"47237509","0","2"
"47237317","2","0"
"47237311","2","0"
"47237239","2","0"
"47237129","2","0"
"47237024","8","0"
"47236981","2","0"
"47236920","5","0"
"47236576","2","0"
"47236514","1","0"
"47236234","2","0"
"47236197","1","0"
"47235859","1","1"
"47235847","1","1"
"47235585","1","0"
"47235454","1","0"
"47235299","1","0"
"47235251","1","0"
"47234965","2","0"
"47234867","1","0"
"47234865","2","0"
"47234680","0","1"
"47234558","1","0"
"47234502","1","0"
"47234402","1","0"
"47234218","3","0"
"47234195","1","0"
"47234153","3","0"
"47234048","1","0"
"47233965","2","0"
"47233731","1","0"
"47233417","1","0"
"47233384","6","0"
"47233274","2","0"
"47233230","1","0"
"47233107","1","0"
"47233055","1","0"
"47232834","4","0"
"47232754","2","0"
"47232492","4","0"
"47232249","2","0"
"47232215","2","0"
"47232168","4","0"
"47232136","2","0"
"47232032","4","0"
"47232006","1","0"
"47231920","4","0"
"47231864","3","0"
"47231776","3","0"
"47231549","1","0"
"47231441","3","0"
"47231314","9","0"
"47231302","1","1"
"47231272","2","0"
"47231189","1","0"
"47231183","1","0"
"47231028","1","0"
"47230990","5","0"
"47230932","1","0"
"47230803","17","0"
"47230715","10","3"
"47230703","2","0"
"47230685","1","0"
"47230669","12","0"
"47230580","2","0"
"47230458","6","0"
"47230400","0","1"
"47230367","1","0"
"47230359","1","0"
"47230217","2","0"
"47230055","1","0"
"47229997","1","0"
"47229927","1","0"
"47229882","6","0"
"47229774","2","0"
"47229669","1","0"
"47229345","7","0"
"47229140","2","0"
"47229044","0","1"
"47229011","7","0"
"47228906","1","0"
"47228329","2","1"
"47227647","1","0"
"47226578","2","0"
"47226187","1","0"
"47225834","3","0"
"47225767","1","0"
"47225676","1","0"
"47225639","1","0"
"47225251","1","0"
"47225188","1","0"
"47225124","1","0"
"47225046","1","0"
"47224989","2","0"
"47224971","1","0"
"47224924","1","0"
"47224763","4","0"
"47224650","1","0"
"47224369","1","0"
"47224195","8","0"
"47224156","4","1"
"47224142","1","0"
"47224141","5","0"
"47224134","1","0"
"47224078","7","0"
"47224043","1","0"
"47224041","3","0"
"47224040","5","0"
"47224027","3","0"
"47224004","1","2"
"47223832","5","0"
"47223134","1","0"
"47223118","1","0"
"47223057","1","2"
"47222778","2","0"
"47222518","1","0"
"47221997","1","0"
"47221463","3","0"
"47221411","1","0"
"47221353","7","0"
"47221324","2","0"
"47221274","3","0"
"47220526","2","0"
"47220330","1","0"
"47220261","1","0"
"47220216","1","0"
"47220060","10","0"
"47220044","2","0"
"47220017","2","0"
"47219867","4","0"
"47219655","4","0"
"47219600","6","0"
"47219587","5","0"
"47219526","2","1"
"47219080","0","1"
"47219074","1","0"
"47218923","1","0"
"47218818","7","0"
"47218709","1","0"
"47218670","3","0"
"47218603","3","0"
"47218600","1","0"
"47218440","1","0"
"47218325","5","0"
"47218312","10","0"
"47218141","2","0"
"47218133","1","0"
"47218122","3","0"
"47218043","1","0"
"47218019","1","0"
"47217944","1","1"
"47217926","1","0"
"47217359","2","0"
"47217025","1","0"
"47216872","1","0"
"47216806","1","0"
"47216517","3","0"
"47216416","2","1"
"47216411","1","0"
"47215855","2","0"
"47215683","0","1"
"47215582","1","0"
"47215541","2","0"
"47214989","1","0"
"47214897","2","0"
"47214838","2","0"
"47214733","1","0"
"47214645","5","0"
"47214641","2","0"
"47214569","2","0"
"47214325","2","0"
"47214237","1","1"
"47214043","2","0"
"47214012","3","0"
"47213982","4","0"
"47213977","1","0"
"47213860","1","0"
"47213732","1","0"
"47213522","4","0"
"47213373","2","0"
"47212798","1","0"
"47212712","3","0"
"47212466","5","0"
"47212460","1","0"
"47212376","1","0"
"47212356","20","0"
"47212334","24","1"
"47212304","1","1"
"47212261","2","0"
"47212241","1","0"
"47212234","1","0"
"47211953","3","0"
"47211829","3","1"
"47211556","2","0"
"47211518","1","0"
"47211341","3","0"
"47211311","2","0"
"47211229","3","0"
"47211125","1","0"
"47210914","2","1"
"47210888","4","1"
"47210855","1","0"
"47210744","2","0"
"47210735","1","0"
"47210614","1","0"
"47210482","1","0"
"47210232","1","0"
"47210202","2","2"
"47210160","1","0"
"47209931","2","0"
"47209726","1","0"
"47209691","1","1"
"47209542","4","0"
"47209526","1","0"
"47209381","5","0"
"47209041","1","0"
"47208734","3","0"
"47208422","1","0"
"47208350","10","0"
"47208300","4","0"
"47208290","2","0"
"47208256","2","0"
"47208170","1","0"
"47207956","2","0"
"47207916","1","0"
"47207874","4","0"
"47207824","2","0"
"47207716","1","0"
"47207708","2","0"
"47207612","0","2"
"47207577","2","0"
"47207412","2","0"
"47207178","1","0"
"47207156","2","0"
"47206900","0","1"
"47206869","0","2"
"47206619","1","0"
"47206460","3","0"
"47206212","2","0"
"47206111","2","0"
"47206091","1","0"
"47205419","1","0"
"47205075","3","0"
"47205030","4","0"
"47204979","1","0"
"47204950","1","0"
"47204507","2","0"
"47204430","3","1"
