Id,UpVotes,DownVotes
"47245452","2","0"
"47245431","1","0"
"47245424","0","2"
"47245391","1","0"
"47245362","3","0"
"47245333","0","1"
"47245279","1","0"
"47245234","0","1"
"47245184","1","0"
"47244954","1","0"
"47244879","2","1"
"47244802","1","0"
"47244534","2","0"
"47244525","3","0"
"47244421","1","0"
"47244298","1","0"
"47244289","3","0"
"47244288","1","0"
"47244256","1","0"
"47244231","1","0"
"47244151","1","0"
"47244091","1","0"
"47243987","1","0"
"47243874","2","0"
"47243856","1","0"
"47243692","0","1"
"47243675","4","0"
"47243674","4","0"
"47243656","1","0"
"47243579","1","0"
"47243467","1","0"
"47243455","0","1"
"47243453","2","0"
"47243396","3","0"
"47243301","1","0"
"47243257","1","0"
"47243241","1","0"
"47243200","0","1"
"47243060","1","1"
"47243054","1","0"
"47243051","1","0"
"47243035","1","0"
"47243031","1","0"
"47242875","1","0"
"47242850","0","1"
"47242792","2","0"
"47242774","2","0"
"47242754","2","0"
"47242745","2","0"
"47242518","1","0"
"47242471","3","0"
"47242354","1","0"
"47242295","2","0"
"47242194","1","0"
"47242123","2","0"
"47241985","1","0"
"47241962","1","0"
"47241865","1","0"
"47241831","1","0"
"47241575","1","0"
"47241455","1","0"
"47241341","1","0"
"47241215","2","0"
"47241126","2","0"
"47241117","3","0"
"47241110","2","0"
"47241071","3","0"
"47241067","2","0"
"47240960","2","0"
"47240883","1","0"
"47240832","2","0"
"47240795","3","0"
"47240776","1","0"
"47240701","1","0"
"47240681","4","0"
"47240663","1","0"
"47240649","0","1"
"47240590","1","0"
"47240526","1","0"
"47240400","1","0"
"47240373","1","0"
"47240123","1","0"
"47240099","1","0"
"47239959","2","0"
"47239923","0","1"
"47239916","2","0"
"47239814","2","0"
"47239793","2","2"
"47239779","1","0"
"47239695","2","2"
"47239654","1","0"
"47239638","2","0"
"47239619","1","0"
"47239599","1","0"
"47239528","1","0"
"47239465","0","3"
"47239420","1","2"
"47239361","1","0"
"47239352","1","0"
"47239323","1","0"
"47239291","2","1"
"47239279","1","1"
"47239173","1","0"
"47239136","1","0"
"47239102","0","1"
"47239087","1","0"
"47239061","1","0"
"47239035","1","2"
"47238869","1","0"
"47238719","1","0"
"47238700","1","0"
"47238672","1","0"
"47238645","1","0"
"47238547","2","0"
"47238531","1","0"
"47238472","1","0"
"47238293","1","0"
"47238289","1","0"
"47237938","2","0"
"47237835","4","0"
"47237800","0","2"
"47237587","2","0"
"47237568","5","0"
"47237544","1","0"
"47237532","1","0"
"47237531","1","0"
"47237418","1","0"
"47237272","1","0"
"47237222","5","0"
"47237160","0","1"
"47237062","0","1"
"47237020","1","0"
"47237011","1","0"
"47237005","1","1"
"47236912","2","0"
"47236828","2","0"
"47236808","1","0"
"47236793","1","0"
"47236710","1","0"
"47236633","3","0"
"47236419","3","0"
"47236403","1","1"
"47236301","2","0"
"47236224","0","1"
"47236147","1","0"
"47236110","1","0"
"47236089","1","0"
"47235873","1","0"
"47235872","1","0"
"47235837","2","0"
"47235782","1","0"
"47235711","0","1"
"47235650","1","0"
"47235640","1","0"
"47235611","0","1"
"47235562","1","0"
"47235488","1","0"
"47235441","4","0"
"47235427","1","0"
"47235418","0","1"
"47235348","1","0"
"47235189","1","0"
"47235136","1","0"
"47235060","1","0"
"47234946","2","0"
"47234775","1","0"
"47234486","5","0"
"47234458","1","0"
"47234387","1","0"
"47234374","1","0"
"47234306","1","0"
"47234283","1","0"
"47234229","2","0"
"47234199","2","0"
"47234115","2","0"
"47234087","1","0"
"47234083","4","0"
