Id,UpVotes,DownVotes
"47245425","0","1"
"47245307","1","0"
"47245260","1","0"
"47245221","1","0"
"47245217","1","0"
"47245181","1","0"
"47245142","0","1"
"47245128","1","0"
"47244970","1","0"
"47244840","2","0"
"47244772","2","0"
"47244760","2","0"
"47244668","1","0"
"47244617","1","0"
"47244612","1","0"
"47244604","1","0"
"47244544","1","0"
"47244485","1","0"
"47244456","0","1"
"47244286","1","0"
"47244122","1","0"
"47244104","2","0"
"47244094","1","0"
"47244019","3","0"
"47243849","3","0"
"47243803","1","0"
"47243729","1","0"
"47243694","1","0"
"47243563","1","1"
"47243431","1","0"
"47243426","1","0"
"47243360","1","0"
"47243348","1","0"
"47243346","2","0"
"47243266","0","1"
"47243258","1","0"
"47243217","1","0"
"47243216","1","0"
"47243199","4","0"
"47243022","1","0"
"47242924","2","0"
"47242846","1","0"
"47242699","2","0"
"47242621","1","0"
"47242598","1","0"
"47242597","1","0"
"47242466","1","1"
"47242398","2","0"
"47242393","1","0"
"47242359","1","0"
"47242352","1","0"
"47242337","0","2"
"47242235","1","0"
"47242191","3","0"
"47242176","1","0"
"47242131","4","0"
"47242060","2","0"
"47241903","1","0"
"47241770","0","1"
"47241729","1","0"
"47241498","1","0"
"47241400","1","0"
"47241360","1","0"
"47241327","2","0"
"47241241","1","0"
"47241112","0","1"
"47241036","1","0"
"47241030","1","0"
"47241027","1","0"
"47240915","4","0"
"47240866","1","0"
"47240692","1","0"
"47240653","1","0"
"47240508","1","0"
"47240491","1","1"
"47240444","0","2"
"47240424","1","0"
"47240419","1","1"
"47240413","3","0"
"47240384","1","0"
"47240230","1","0"
"47240178","1","0"
"47240169","1","0"
"47240130","1","0"
"47240065","2","0"
"47240030","2","1"
"47239908","1","0"
"47239904","1","0"
"47239875","1","0"
"47239826","1","0"
"47239807","0","1"
"47239785","0","1"
"47239730","1","0"
"47239589","0","1"
"47239567","1","0"
"47239487","1","0"
"47239394","0","2"
"47239387","0","1"
"47239288","1","0"
"47239060","1","1"
"47239030","0","1"
"47238856","1","0"
"47238854","1","0"
"47238850","2","0"
"47238826","2","0"
"47238813","1","0"
"47238764","1","0"
"47238756","2","0"
"47238731","2","0"
"47238622","1","0"
"47238619","2","0"
"47238579","1","1"
"47238551","1","0"
"47238526","2","0"
"47238523","1","0"
"47238493","1","0"
"47238462","1","0"
"47238445","1","0"
"47238404","1","0"
"47238401","1","0"
"47238382","1","0"
"47238381","1","0"
"47238361","1","0"
"47238339","0","1"
"47238338","0","2"
"47238273","1","1"
"47238237","1","0"
"47238204","1","0"
"47238179","2","0"
"47238154","2","0"
"47238147","3","0"
"47238032","2","0"
"47238026","0","1"
"47238016","2","0"
"47237993","1","0"
"47237955","2","0"
"47237865","1","0"
"47237862","2","0"
"47237853","2","0"
"47237813","0","1"
"47237791","1","1"
"47237601","4","1"
"47237508","1","0"
"47237334","2","0"
"47237250","2","0"
"47237200","1","0"
"47237166","1","0"
"47237052","1","0"
"47237043","3","1"
"47236998","1","0"
"47236953","1","0"
"47236862","1","0"
"47236852","1","0"
"47236851","1","0"
"47236845","1","0"
"47236844","1","0"
"47236831","1","0"
"47236725","1","0"
"47236715","1","0"
"47236707","2","0"
"47236698","1","0"
"47236689","1","0"
"47236672","1","0"
"47236617","1","0"
"47236508","2","0"
"47236483","1","0"
"47236458","1","0"
"47236409","1","0"
"47236407","1","0"
"47236349","0","1"
"47236313","3","0"
"47236267","2","0"
"47236261","1","0"
"47236229","2","0"
"47236118","1","0"
"47236008","1","0"
"47235937","2","0"
"47235933","2","0"
"47235924","1","0"
"47235904","0","1"
"47235882","1","0"
"47235843","1","0"
"47235780","1","0"
"47235760","1","1"
"47235755","2","0"
"47235753","1","1"
"47235746","1","0"
"47235698","1","0"
"47235643","2","0"
"47235620","2","0"
"47235609","2","0"
"47235285","1","0"
"47235218","2","0"
"47235164","3","0"
"47235155","1","0"
"47235154","1","0"
"47235147","2","0"
"47235043","1","0"
"47235015","1","0"
"47234928","5","0"
"47234906","2","0"
"47234757","3","0"
"47234689","1","0"
"47234629","1","0"
"47234593","2","1"
"47234528","1","0"
"47234523","3","0"
"47234475","2","0"
"47234323","2","0"
"47234303","1","0"
"47234291","1","0"
"47234162","2","0"
"47234117","1","0"
"47234114","1","0"
"47234062","1","0"
"47234037","1","0"
"47234029","1","0"
"47234005","2","0"
"47233970","1","0"
"47233781","1","0"
"47233747","1","0"
"47233665","1","0"
"47233647","1","0"
"47233642","2","0"
"47233635","3","0"
"47233633","1","0"
"47233600","1","0"
"47233579","1","0"
"47233578","1","0"
"47233559","1","0"
"47233500","1","0"
"47233490","1","0"
"47233483","3","0"
"47233466","1","0"
"47233429","1","0"
"47233406","1","0"
"47233288","1","0"
"47233247","2","0"
"47233240","1","0"
"47233219","1","0"
"47233206","3","0"
"47233144","1","0"
"47233109","1","0"
"47233068","1","0"
"47233038","3","0"
"47233008","1","0"
"47232908","3","0"
"47232894","4","0"
"47232891","1","0"
"47232887","0","1"
"47232855","1","0"
"47232835","1","0"
"47232819","2","0"
"47232817","1","0"
"47232783","3","0"
"47232771","1","0"
"47232735","1","0"
"47232733","1","0"
"47232708","0","2"
"47232688","1","0"
"47232653","0","1"
"47232648","1","1"
"47232639","1","0"
"47232397","1","0"
"47232362","1","0"
"47232311","6","0"
"47232305","1","0"
"47232273","0","1"
"47232264","1","0"
"47232237","1","0"
"47232094","1","0"
"47232053","2","0"
"47232024","1","0"
"47232008","2","0"
"47231991","2","0"
"47231976","1","0"
"47231975","1","1"
"47231936","1","0"
"47231869","1","0"
"47231857","1","0"
"47231811","2","0"
"47231799","2","0"
"47231762","1","0"
"47231680","1","0"
"47231649","2","0"
"47231540","3","0"
"47231497","2","0"
"47231489","1","0"
"47231435","1","0"
"47231434","2","0"
"47231427","2","0"
"47231348","2","0"
"47231325","1","0"
"47231316","1","0"
"47231169","3","0"
"47231114","1","0"
"47231104","3","0"
"47231099","1","0"
"47231078","2","0"
"47231076","2","0"
"47231006","0","1"
"47230986","4","0"
"47230921","1","0"
"47230907","2","0"
"47230860","1","0"
"47230842","8","0"
"47230788","2","0"
"47230783","1","0"
"47230758","1","0"
"47230751","0","1"
"47230748","1","0"
"47230705","1","0"
"47230702","4","0"
