Id,UpVotes,DownVotes
"47226125","1","0"
"47219717","4","0"
"47212340","1","0"
"47209764","2","0"
"47208840","2","0"
"47180941","8","0"
"47180637","14","0"
"47167627","1","0"
"47164314","2","0"
"47143934","2","0"
"47143700","2","1"
"47128857","1","0"
"47121218","1","0"
"47112885","1","0"
"47100848","1","0"
"47088782","4","0"
"47058598","3","0"
"47053370","2","0"
"47048407","1","0"
"47038559","1","0"
"47038546","2","0"
"47031685","3","0"
"47027419","2","0"
"47026575","2","0"
"47024958","1","0"
"47017229","2","0"
"47015871","1","0"
"47013434","1","0"
"47009877","1","0"
"47008138","1","0"
"47006662","1","0"
"46999152","4","0"
"46988081","4","0"
"46985939","3","0"
"46971195","1","0"
"46968765","2","0"
"46953425","2","0"
"46946134","6","0"
"46942743","2","0"
"46939124","1","0"
"46936273","4","0"
"46935749","1","0"
"46926801","2","0"
"46920202","2","0"
"46916538","3","0"
"46915794","1","0"
"46912320","1","0"
"46905038","1","0"
"46902163","2","0"
"46901967","4","0"
"46883521","4","0"
"46882453","3","0"
"46877495","1","0"
"46876918","1","0"
"46872994","6","0"
"46866966","4","0"
"46865822","3","0"
"46863478","1","0"
"46856013","2","0"
"46835587","3","0"
"46826857","4","0"
"46825457","2","0"
"46818296","1","0"
"46782058","1","0"
"46762090","3","0"
"46759007","4","0"
"46757292","3","0"
"46753576","1","0"
"46739296","1","0"
"46738234","4","0"
"46727598","4","0"
"46719023","3","0"
"46677028","2","0"
"46671545","2","0"
"46666398","3","0"
"46655903","1","0"
"46651862","4","0"
"46630247","1","0"
"46625008","2","0"
"46612690","5","0"
"46611455","2","0"
"46611344","4","0"
"46611086","5","0"
"46602608","1","0"
"46602471","1","0"
"46594282","1","0"
"46589581","5","0"
"46586399","1","0"
"46576384","4","0"
"46576382","3","0"
"46572403","1","0"
"46570214","2","0"
"46567131","1","0"
"46567074","3","0"
"46565775","2","0"
"46553717","2","0"
"46547644","1","0"
"46546214","4","0"
"46535393","1","0"
"46522398","2","0"
"46513999","1","0"
"46506007","0","1"
"46505595","0","1"
"46500333","2","0"
"46489574","1","0"
"46485611","2","0"
"46474650","1","0"
"46437689","1","0"
"46427504","4","0"
"46426275","1","0"
"46422131","3","0"
"46417181","2","0"
"46414810","1","0"
"46413482","1","0"
"46406015","4","0"
"46400128","2","0"
"46398183","2","0"
"46395617","1","0"
"46394836","7","0"
"46394530","5","0"
"46388051","3","0"
"46386571","1","0"
"46373767","4","0"
"46370863","1","0"
"46364643","1","0"
"46361892","1","0"
"46357514","1","0"
"46355123","2","0"
"46334098","4","0"
"46326545","4","0"
"46326221","2","0"
"46324836","2","0"
"46324359","3","0"
"46313649","3","0"
"46311639","4","0"
"46308197","4","0"
"46295712","1","0"
"46293008","6","0"
"46289495","2","0"
"46285243","1","0"
"46281697","2","0"
"46279280","2","0"
"46278412","2","0"
"46267680","1","0"
"46267638","1","0"
"46260540","1","0"
"46256319","2","0"
"46248454","1","0"
"46243902","9","0"
"46242333","15","0"
"46221956","2","0"
"46220533","5","0"
"46214427","1","0"
"46211219","2","0"
"46132042","1","0"
"46113132","1","0"
"46109116","2","0"
"46095576","2","0"
"46091431","3","0"
"46089116","1","0"
"46065308","2","0"
"46060345","1","0"
"46056675","1","0"
"46054022","1","0"
"46043626","6","0"
"46037132","1","0"
"46035541","3","0"
"46024288","2","0"
"46020154","1","0"
"46020140","4","0"
"46006016","3","0"
"46004448","1","0"
"45981075","1","0"
"45943852","2","0"
"45931840","1","0"
"45919782","3","0"
"45901699","2","0"
"45900758","2","0"
"45900614","1","0"
"45875664","5","0"
"45817089","2","0"
"45815241","3","0"
"45782048","4","0"
"45778223","2","0"
"45757171","1","0"
"45749848","1","1"
"45743798","8","0"
"45723025","3","0"
"45719671","1","0"
"45700138","5","0"
"45699835","1","0"
"45691871","8","0"
"45676963","1","0"
"45675022","4","1"
"45647717","3","0"
"45645032","1","0"
"45598914","3","0"
"45591786","5","0"
"45578256","3","0"
"45578211","3","0"
"45558039","3","0"
"45536850","2","0"
"45535193","2","0"
"45533334","2","0"
"45524782","2","0"
"45511196","2","0"
"45508384","0","3"
"45495926","1","0"
"45495114","2","0"
"45491647","1","0"
"45481564","2","0"
"45479966","4","0"
"45441019","1","0"
"45438592","6","0"
"45433098","1","0"
"45410652","3","0"
"45372876","3","0"
"45372782","1","0"
"45339828","6","0"
"45325170","1","0"
"45308682","1","0"
"45284735","1","0"
"45245477","2","0"
"45217268","1","0"
"45184946","1","0"
"45183756","2","0"
"45179403","1","0"
"45176207","3","0"
"45169131","1","0"
"45151074","1","0"
"45145012","5","0"
"45110661","4","0"
"45107678","3","0"
"45106164","4","0"
"45091913","4","0"
"45087907","1","0"
"45067430","3","0"
"45067376","3","0"
"45062130","2","0"
"45062086","1","0"
"45059734","2","1"
"45058410","1","0"
"45045344","5","0"
"45034369","3","0"
"45029950","3","0"
"45012387","1","0"
"44988622","1","0"
"44973455","1","0"
"44970924","1","0"
"44947446","3","0"
"44918782","2","0"
"44910267","2","0"
"44910209","3","0"
"44907193","4","0"
"44906918","3","0"
"44906383","4","0"
"44905585","1","0"
"44886496","3","0"
"44843824","1","0"
"44839106","1","0"
"44782002","1","0"
"44743008","4","0"
