Id,UpVotes,DownVotes
"47242844","2","0"
"47240867","2","0"
"47239545","1","0"
"47239448","1","0"
"47237374","3","0"
"47231363","4","0"
"47228168","3","0"
"47226185","4","0"
"47224901","1","0"
"47217912","4","0"
"47217507","3","0"
"47205050","4","1"
"47205007","5","0"
"47197085","1","0"
"47193986","2","0"
"47186204","0","1"
"47184074","4","0"
"47180043","11","0"
"47179941","2","0"
"47178197","4","0"
"47170566","3","0"
"47164468","1","2"
"47160301","7","0"
"47159528","3","0"
"47156134","6","0"
"47152394","5","0"
"47147939","3","0"
"47147142","2","0"
"47143424","3","0"
"47142105","1","0"
"47133842","2","0"
"47132430","4","0"
"47131555","4","0"
"47130949","0","2"
"47127500","2","0"
"47127076","3","0"
"47126516","5","0"
"47121936","1","0"
"47120576","2","0"
"47118946","3","0"
"47118925","3","1"
"47118017","2","0"
"47113822","1","0"
"47107933","3","0"
"47107781","1","0"
"47105863","1","0"
"47103155","1","0"
"47098265","3","0"
"47092597","5","0"
"47087585","1","0"
"47087448","1","0"
"47081428","8","0"
"47080388","3","0"
"47078290","2","0"
"47075996","7","0"
"47075392","5","0"
"47060530","7","0"
"47059029","2","0"
"47055499","2","0"
"47054695","1","0"
"47052707","2","0"
"47045355","4","0"
"47044566","1","0"
"47044053","3","0"
"47039490","3","0"
"47037958","1","0"
"47037876","4","0"
"47036788","1","0"
"47033769","0","1"
"47031589","1","0"
"47028467","5","0"
"47025768","4","0"
"47020903","0","1"
"47019398","8","0"
"47017334","1","0"
"47015465","2","0"
"46997897","2","0"
"46997436","1","0"
"46995459","1","0"
"46991872","1","0"
"46991210","2","0"
"46982989","5","0"
"46982864","4","0"
"46981479","2","0"
"46981442","2","0"
"46977541","2","0"
"46973675","2","0"
"46972164","1","0"
"46969907","5","0"
"46966446","3","0"
"46962691","3","0"
"46949161","1","0"
"46945243","5","0"
"46942187","1","0"
"46941864","2","0"
"46941543","1","0"
"46932105","4","0"
"46929611","1","0"
"46929073","1","0"
"46926970","2","0"
"46922647","1","0"
"46920959","1","0"
"46918783","2","0"
"46911787","4","0"
"46910530","2","0"
"46908600","6","0"
"46907036","0","2"
"46906516","5","0"
"46902779","3","0"
"46900843","2","0"
"46900081","4","0"
"46887684","2","0"
"46885479","2","0"
"46883352","3","0"
"46879252","2","0"
"46875017","2","0"
"46874589","2","0"
"46874220","1","0"
"46867952","4","0"
"46867634","4","0"
"46866917","2","0"
"46866690","1","0"
"46865226","1","0"
"46864930","2","0"
"46864830","1","0"
"46861247","3","0"
"46858350","3","0"
"46854662","2","0"
"46852524","2","0"
"46849754","3","0"
"46844691","2","0"
"46836391","8","0"
"46829631","2","0"
"46817761","4","0"
"46806092","2","0"
"46805918","1","0"
"46801060","4","0"
"46793702","8","0"
"46787162","3","0"
"46786135","1","0"
"46784223","2","0"
"46780708","2","0"
"46780593","4","0"
"46780312","1","0"
"46779548","4","0"
"46777838","3","0"
"46777592","5","0"
"46777411","5","0"
"46772792","9","0"
"46769061","2","0"
"46767732","4","0"
"46766782","2","0"
"46766375","3","0"
"46760506","3","1"
"46755607","4","0"
"46755370","4","0"
"46749785","3","0"
"46749415","1","0"
"46745579","6","0"
"46745451","1","0"
"46745352","2","0"
"46745292","7","0"
"46744771","5","0"
"46742408","3","0"
"46739857","3","0"
"46737786","3","0"
"46714338","6","0"
"46711521","9","0"
"46699544","2","0"
"46697492","5","0"
"46689917","2","0"
"46689201","1","0"
"46683437","11","0"
"46683398","6","0"
"46680202","9","0"
"46677043","2","0"
"46667666","3","0"
"46667636","5","0"
"46658944","3","1"
"46654791","1","0"
"46654539","3","0"
"46654536","4","0"
"46651758","7","0"
"46650190","1","0"
"46649962","1","0"
"46632613","3","0"
"46631772","4","0"
"46625932","2","0"
"46625787","3","0"
"46625554","2","0"
"46615691","5","0"
"46613908","1","0"
"46607851","2","0"
"46607795","2","0"
"46603277","5","0"
"46601895","1","0"
"46600337","3","0"
"46597036","1","0"
"46586521","3","0"
"46585888","4","0"
"46584818","1","0"
"46578292","1","0"
"46578225","9","0"
"46567537","1","0"
"46565194","4","0"
"46560473","5","0"
"46560144","3","0"
"46559064","1","0"
"46557739","1","0"
"46557737","7","0"
"46556020","1","3"
"46555236","1","0"
"46549896","4","0"
"46549888","3","0"
"46548274","1","0"
"46547122","5","0"
"46546729","1","0"
"46546728","4","0"
"46544904","1","0"
"46544747","2","0"
"46535782","2","0"
"46535558","2","0"
"46532501","10","0"
"46531362","3","0"
"46530830","4","0"
"46530088","2","0"
"46521163","8","0"
"46516623","4","0"
"46515438","4","0"
"46515305","2","0"
"46514082","6","0"
"46513198","1","0"
"46511626","2","0"
"46509606","1","0"
"46507221","1","0"
"46503946","1","0"
"46500887","3","0"
"46499184","1","0"
"46495210","6","0"
"46492608","2","0"
"46492004","1","0"
"46490371","1","0"
"46487292","3","1"
"46480631","1","0"
"46477516","0","2"
"46474351","1","0"
"46473008","2","0"
"46472421","2","0"
"46472096","1","0"
"46469782","3","0"
"46437620","3","0"
"46435093","5","0"
"46429852","2","1"
"46422541","10","0"
"46407832","6","0"
"46407298","1","0"
"46394300","2","0"
"46394029","1","0"
"46389319","4","0"
"46389299","6","0"
"46382269","2","0"
"46379677","1","0"
"46373403","8","0"
"46368265","4","0"
"46366481","1","0"
"46366395","2","0"
"46365193","3","0"
"46343164","2","0"
"46333270","4","0"
"46331855","2","0"
"46331421","1","0"
"46324371","4","0"
"46320621","5","0"
"46314823","10","0"
"46300821","4","0"
"46296167","1","0"
"46290754","5","0"
"46290728","3","0"
"46288790","2","0"
"46288137","4","0"
"46287626","1","0"
"46287570","3","0"
"46287534","4","0"
"46287450","2","0"
"46282397","5","0"
"46276752","6","0"
"46271014","4","0"
"46267245","3","0"
"46266766","3","0"
"46266422","8","0"
"46260271","2","0"
"46255820","3","0"
"46254581","1","0"
"46245307","9","0"
"46245303","4","0"
"46243038","2","0"
"46238543","3","0"
"46233793","2","0"
"46233470","2","0"
"46233018","2","0"
"46229394","2","0"
"46227447","2","1"
"46225116","1","0"
"46219386","1","0"
"46214368","1","0"
"46208888","1","0"
"46198877","1","0"
"46198504","1","0"
"46186688","6","0"
"46186149","8","0"
"46176983","3","0"
"46166770","6","0"
"46166507","2","0"
"46157735","3","0"
"46151301","1","0"
"46145406","10","1"
